MS URN	Shelfmark to Use	Form	Language	Date	Includes	Translator	Collection	Library	Institution	City	Folios	Digital Status	Copyright	Copyright Link	Repository	Link to Digitized Version
urn:cite:ogl:cheltenham_phillips7017	MS 7017	Manuscript	Latin	1100-1200 CE		Pseudo-Boethius (Geometry II)	(Phillips Collection)	(unknown)		(unknown)		Not digitized				
urn:cite:ogl:bamberg_mscclass55	Msc.Class.55	Manuscript	Latin	900-925 CE		Pseudo-Boethius (Geometry I)		Staatsbibliothek Bamberg		Bamberg		Fully digitized	Alle Rechte sind vorbehalten	https://www.staatsbibliothek-bamberg.de/index.php?id=1221	Kaiser-Heinrich-Bibliothek	http://bsbsbb.bsb.lrz-muenchen.de/~db/0000/sbb00000113/images/index.html?seite=6&signatur=Msc.Class.55
urn:cite:ogl:bergamo_ma279	MS MA 279 (Delta 4.48)	Manuscript	Latin	1500-1600 CE	1.def.1-3.prop.10(enunciations only)	Campanus de Novara		Biblioteca Civica Angelo Mai di Bergamo		Bergamo	33r-39v	Not digitized				
urn:cite:ogl:berkeley_ucb079	MS UCB 079	Manuscript	Latin	1400-1499 CE	1-15	Campanus de Novara		Bancroft Library	University of California: Berkeley	Berkeley	2r-165v	Partially digitized	The owning institutions encourage use of these materials under the fair use clause of the 1976 copyright act. For the purposes of research, teaching, and private study, you may reproduce (print, make photocopies, or download) materials from this collection without prior permission of the owning institution, on the condition that proper attribution of the source is provided in all copies.	http://bancroft.berkeley.edu/digitalscriptorium/usingimages/	Digital Scriptorium	http://ucblibrary4.berkeley.edu:8088/xtf22/search?smode=basic;text=euclid;rmode=digscript;docsPerPage=1;startDoc=1;fullview=yes
urn:cite:ogl:berkeley_50	MS 50	Manuscript	Latin	1150-1200 CE	1-15	"Mélanges"	Robert B. Honeyman Jr. Collection	The Bancroft Library	University of California, Berkeley	Berkeley	1r-25v	Not digitized				
urn:cite:ogl:berlin_latfol852	Ms. lat. fol. 852	Manuscript	Latin	1300-1400 CE	1.prop.32, 1.prop.41, 2.prop.8	Campanus de Novara		Staatsbibliotek zu Berlin		Berlin	85r-89v,90v-92v	Not digitized				
urn:cite:ogl:berlin_latqu510	Ms. lat. qu. 510	Manuscript	Latin	1200-1300 CE	1-15	Adelard II		Staatsbibliotek zu Berlin		Berlin	1r-59v	Not digitized				
urn:cite:ogl:berlin_latqu514	Ms. lat. qu. 514	Manuscript	Latin	1300-1400 CE	1-6	Campanus de Novara		Staatsbibliotek zu Berlin		Berlin	1r-56v	Not digitized				
urn:cite:ogl:bern_a50	MS A.50	Manuscript	Latin	1412 CE	1-15	Campanus de Novara		Burgerbibliothek Bern		Bern	1r-168v	Not digitized				
urn:cite:ogl:bern_299	Cod. 299	Manuscript	Latin	1000-1100 CE		Pseudo-Boethius (Geometry I)		Burgerbibliothek Bern		Bern	1r-14v	Not digitized				
