Online?	Archive.org ID	Google Books ID	HathiTrust ID	SLUB ID	Other	Date	Edition	Translator	Author (besides Euclid)	Editor	City
yes	OEXV231RES	d7E2AAAAMAAJ				1482		Campanus			Venice
yes	gri_000033125009354198		gri.ark:/13960/t3vt3074v			1482		Campanus			Venice
not found						1491		Campanus			Vicenza
not found						1498		Georgio Calla Placentino			Venice
not found						1501		Georgio Calla Placentino			Venice
not found						1505		Zamberti			Venice
not found						1506		Campanus		Amb. Lacher	
not found						1507					Paris
yes		-nRPIE3VJd8C				1509		Campanus		Luca Paciuolo	Venice
yes		9mdY8sZcUa4C				1509		Campanus		Luca Paciuolo	Venice
yes		ecJCAAAAcAAJ				1509		Campanus		Luca Paciuolo	Venice
yes		KtcWzA-j3qcC				1509		Campanus		Luca Paciuolo	Venice
yes		Y0tZAAAAcAAJ				1509		Campanus		Luca Paciuolo	Venice
not found						1509					Venice
yes		ckxZAAAAcAAJ				1510					Venice
not found						1511					Paris
not found						1513					Venice
yes		30tZAAAAcAAJ				1516		Campanus,Zamberti			Paris
yes		MhxQAAAAcAAJ				1516		Campanus,Zamberti			Paris
yes		Zxn66SdX4UMC				1516		Campanus,Zamberti			Paris
not found						1516		Rodrigo Zamorano			Seville
not found						1516					Paris
not found						1516					Paris
yes		wR1QAAAAcAAJ				1517					
not found						1521					Paris
not found						1521					Paris
not found						1521					Paris
not found						1521					Florence
not found						1528					Vienna
yes		mN9RAAAAcAAJ				1529					Argentoratum
yes		msbZ-LmwJIcC				1529					Argentoratum
yes				TN_libero_mab214111205		1529					Argentoratum
not found						1529					Sienna
not found						1530					
not found						1531					Paris
not found						1532					Paris
yes				TN_libero_mab214265717		1533				Simon Grynaeus	Basel
not found						1533					Paris
yes		175Y7ym3ricC				1534					Paris
yes		sbw7AAAAcAAJ				1534					Paris
not found						1536					Paris
not found						1536					Wittenberg
not found						1537					Nuremberg
not found						1537					Paris
yes			ucm.5317955077			1537		Campanus,Zamberti			Basel
yes		o8RCAAAAcAAJ				1537		Campanus,Zamberti			Basel
yes				TN_libero_mab214139201		1537		Campanus,Zamberti			Basel
yes		fZZO7y66YWoC				1538					
yes		Od5aAAAAcAAJ				1539					Venice
not found						1539					Basel
not found						1541					Rome
yes		-Z1Jxbdd4ZEC				1543		Niccolò Tartaglia			Venice
not found						1544					Venice
not found						1544					Paris
not found						1545		Petrus Ramus			Paris
yes		CsYA5nFQ2TsC				1545					Rome
not found						1545					Venice
