MS URN	Description	Print Location	Online Location
urn:cite:ogl:cheltenham_phillips7017	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:bamberg_mscclass55	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:bergamo_ma279	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:berkeley_ucb079	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:berkeley_50	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:berlin_latfol852	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:berlin_latqu510	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:berlin_latqu514	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:bern_a50	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:bern_299	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:bern_87	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:boston_24	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:boulognesurmer_196	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:bruges_521	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:bruges_529	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:brussels_10629_10660	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:brussels_4499_4503	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:budapest_euclidfolio	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cambridge_add1075	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cambridge_ggi18	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cambridge_ggvi3	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cambridge_add6866	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cambridge_mcclean168	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cambridge_504_271	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cambridge_r15_14	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cambridge_ddxii61	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:cesena_sxxvi1	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:chartres_498	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:copenhagen_arab81	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:copenhagen_gks277	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:copenhagen_nks100	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:darmstadt_hs739	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:dijon_441	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:dresden_db86	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:dublin_ar3035	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:dunedin_debeer08	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:düsseldorf_f13	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:einsiedeln_358	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:einsiedeln_298	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:emden_14	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_cafol37	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_cafol375	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_caquart22	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
urn:cite:ogl:erfurt_caquart23	Folkerts, Menso. "Euclid in Medieval Europe." 1989.		http://www.math.ubc.ca/~cass/euclid/folkerts/folkerts.html
