Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 1.Prop.1	1.prop.1	2	https://archive.org/stream/gri_000033125009354198#page/n7/mode/2up			
Euc. 1.Prop.2	1.prop.2	3	https://archive.org/stream/gri_000033125009354198#page/n7/mode/2up			
Euc. 1.Prop.3	1.prop.3	4	https://archive.org/stream/gri_000033125009354198#page/n9/mode/2up			
Euc. 1.Prop.4	1.prop.4	4	https://archive.org/stream/gri_000033125009354198#page/n9/mode/2up			
Euc. 1.Prop.5	1.prop.5	4	https://archive.org/stream/gri_000033125009354198#page/n9/mode/2up			
Euc. 1.Prop.6	1.prop.6	5	https://archive.org/stream/gri_000033125009354198#page/n9/mode/2up			
Euc. 1.Prop.7	1.prop.7	5	https://archive.org/stream/gri_000033125009354198#page/n9/mode/2up			
Euc. 1.Prop.8	1.prop.8	6	https://archive.org/stream/gri_000033125009354198#page/n11/mode/2up			
Euc. 1.Prop.9	1.prop.9	6	https://archive.org/stream/gri_000033125009354198#page/n11/mode/2up			
Euc. 1.Prop.10	1.prop.10	6	https://archive.org/stream/gri_000033125009354198#page/n11/mode/2up			
Euc. 1.Prop.11	1.prop.11	7	https://archive.org/stream/gri_000033125009354198#page/n11/mode/2up			
Euc. 1.Prop.12	1.prop.12	7	https://archive.org/stream/gri_000033125009354198#page/n11/mode/2up			
Euc. 1.Prop.13	1.prop.13	7	https://archive.org/stream/gri_000033125009354198#page/n11/mode/2up			
Euc. 1.Prop.14	1.prop.14	7	https://archive.org/stream/gri_000033125009354198#page/n11/mode/2up			
Euc. 1.Prop.15	1.prop.15	8	https://archive.org/stream/gri_000033125009354198#page/n13/mode/2up			
Euc. 1.Prop.16	1.prop.16	8	https://archive.org/stream/gri_000033125009354198#page/n13/mode/2up			
Euc. 1.Prop.17	1.prop.17	8	https://archive.org/stream/gri_000033125009354198#page/n13/mode/2up			
Euc. 1.Prop.18	1.prop.18	8	https://archive.org/stream/gri_000033125009354198#page/n13/mode/2up			
Euc. 1.Prop.19	1.prop.19	9	https://archive.org/stream/gri_000033125009354198#page/n13/mode/2up			
Euc. 1.Prop.20	1.prop.20	9	https://archive.org/stream/gri_000033125009354198#page/n13/mode/2up			
Euc. 1.Prop.21	1.prop.21	9	https://archive.org/stream/gri_000033125009354198#page/n13/mode/2up			
