Current Perseus ID	Numbering in work	Page	Link	Temp PNG File	PDF Page	Coords
Euc. 1.Prop.1	1.prop.	3	http://digital.slub-dresden.de/en/workview/dlf/7154/17/0/			
Euc. 1.Prop.2	1.prop.	3	http://digital.slub-dresden.de/en/workview/dlf/7154/17/0/			
Euc. 1.Prop.3	1.prop.	3	http://digital.slub-dresden.de/en/workview/dlf/7154/17/0/			
Euc. 1.Prop.4	1.prop.	4	http://digital.slub-dresden.de/en/workview/dlf/7154/18/0/			
Euc. 1.Prop.5	1.prop.	4	http://digital.slub-dresden.de/en/workview/dlf/7154/18/0/			
Euc. 1.Prop.6	1.prop.	5	http://digital.slub-dresden.de/en/workview/dlf/7154/19/0/			
Euc. 1.Prop.7	1.prop.	5	http://digital.slub-dresden.de/en/workview/dlf/7154/19/0/			
Euc. 1.Prop.8	1.prop.	5	http://digital.slub-dresden.de/en/workview/dlf/7154/19/0/			
Euc. 1.Prop.8	1.prop.	6	http://digital.slub-dresden.de/en/workview/dlf/7154/20/0/			
Euc. 1.Prop.9	1.prop.	6	http://digital.slub-dresden.de/en/workview/dlf/7154/20/0/			
Euc. 1.Prop.10	1.prop.	6	http://digital.slub-dresden.de/en/workview/dlf/7154/20/0/			
Euc. 1.Prop.11	1.prop.	6	http://digital.slub-dresden.de/en/workview/dlf/7154/20/0/			
Euc. 1.Prop.12	1.prop.	7	http://digital.slub-dresden.de/en/workview/dlf/7154/21/0/			
Euc. 1.Prop.13	1.prop.	7	http://digital.slub-dresden.de/en/workview/dlf/7154/21/0/			
Euc. 1.Prop.14	1.prop.	7	http://digital.slub-dresden.de/en/workview/dlf/7154/21/0/			
Euc. 1.Prop.14	1.prop.	8	http://digital.slub-dresden.de/en/workview/dlf/7154/22/0/			
Euc. 1.Prop.15	1.prop.	8	http://digital.slub-dresden.de/en/workview/dlf/7154/22/0/			
Euc. 1.Prop.16	1.prop.	8	http://digital.slub-dresden.de/en/workview/dlf/7154/22/0/			
Euc. 1.Prop.17	1.prop.	8	http://digital.slub-dresden.de/en/workview/dlf/7154/22/0/			
Euc. 1.Prop.18	1.prop.	9	http://digital.slub-dresden.de/en/workview/dlf/7154/23/0/			
Euc. 1.Prop.19	1.prop.	9	http://digital.slub-dresden.de/en/workview/dlf/7154/23/0/			
Euc. 1.Prop.20	1.prop.	9	http://digital.slub-dresden.de/en/workview/dlf/7154/23/0/			
Euc. 1.Prop.21	1.prop.	9	http://digital.slub-dresden.de/en/workview/dlf/7154/23/0/			
Euc. 1.Prop.22	1.prop.	10	http://digital.slub-dresden.de/en/workview/dlf/7154/24/0/			
Euc. 1.Prop.23	1.prop.	10	http://digital.slub-dresden.de/en/workview/dlf/7154/24/0/			
Euc. 1.Prop.24	1.prop.	11	http://digital.slub-dresden.de/en/workview/dlf/7154/25/0/			
Euc. 1.Prop.25	1.prop.	11	http://digital.slub-dresden.de/en/workview/dlf/7154/25/0/			
Euc. 1.Prop.26	1.prop.	11	http://digital.slub-dresden.de/en/workview/dlf/7154/25/0/			
Euc. 1.Prop.27	1.prop.	12	http://digital.slub-dresden.de/en/workview/dlf/7154/26/0/			
Euc. 1.Prop.28	1.prop.	13	http://digital.slub-dresden.de/en/workview/dlf/7154/27/0/			
Euc. 1.Prop.29	1.prop.	13	http://digital.slub-dresden.de/en/workview/dlf/7154/27/0/			
	1.prop.	13	http://digital.slub-dresden.de/en/workview/dlf/7154/27/0/			
Euc. 1.Prop.31	1.prop.	14	http://digital.slub-dresden.de/en/workview/dlf/7154/28/0/			
Euc. 1.Prop.32	1.prop.	14	http://digital.slub-dresden.de/en/workview/dlf/7154/28/0/			
Euc. 1.Prop.33	1.prop.	14	http://digital.slub-dresden.de/en/workview/dlf/7154/28/0/			
Euc. 1.Prop.34	1.prop.	15	http://digital.slub-dresden.de/en/workview/dlf/7154/29/0/			
Euc. 1.Prop.35	1.prop.	15	http://digital.slub-dresden.de/en/workview/dlf/7154/29/0/			
Euc. 1.Prop.36	1.prop.	15	http://digital.slub-dresden.de/en/workview/dlf/7154/29/0/			
Euc. 1.Prop.37	1.prop.	16	http://digital.slub-dresden.de/en/workview/dlf/7154/30/0/			
Euc. 1.Prop.38	1.prop.	16	http://digital.slub-dresden.de/en/workview/dlf/7154/30/0/			
Euc. 1.Prop.39	1.prop.	16	http://digital.slub-dresden.de/en/workview/dlf/7154/30/0/			
Euc. 1.Prop.40	1.prop.	17	http://digital.slub-dresden.de/en/workview/dlf/7154/31/0/			
Euc. 1.Prop.41	1.prop.	17	http://digital.slub-dresden.de/en/workview/dlf/7154/31/0/			
Euc. 1.Prop.42	1.prop.	17	http://digital.slub-dresden.de/en/workview/dlf/7154/31/0/			
Euc. 1.Prop.43	1.prop.	17	http://digital.slub-dresden.de/en/workview/dlf/7154/31/0/			
Euc. 1.Prop.44	1.prop.	18	http://digital.slub-dresden.de/en/workview/dlf/7154/32/0/			
Euc. 1.Prop.45	1.prop.	18	http://digital.slub-dresden.de/en/workview/dlf/7154/32/0/			
Euc. 1.Prop.46	1.prop.	19	http://digital.slub-dresden.de/en/workview/dlf/7154/33/0/			
Euc. 1.Prop.47	1.prop.	19	http://digital.slub-dresden.de/en/workview/dlf/7154/33/0/			
Euc. 1.Prop.48	1.prop.	20	http://digital.slub-dresden.de/en/workview/dlf/7154/34/0/			
Euc. 2.Prop.1	2.prop.	21	http://digital.slub-dresden.de/en/workview/dlf/7154/35/0/			
Euc. 2.Prop.2	2.prop.	21	http://digital.slub-dresden.de/en/workview/dlf/7154/35/0/			
Euc. 2.Prop.3	2.prop.	21	http://digital.slub-dresden.de/en/workview/dlf/7154/35/0/			
Euc. 2.Prop.3	2.prop.	22	http://digital.slub-dresden.de/en/workview/dlf/7154/36/0/			
Euc. 2.Prop.4	2.prop.	22	http://digital.slub-dresden.de/en/workview/dlf/7154/36/0/			
Euc. 2.Prop.5	2.prop.	23	http://digital.slub-dresden.de/en/workview/dlf/7154/37/0/			
Euc. 2.Prop.6	2.prop.	23	http://digital.slub-dresden.de/en/workview/dlf/7154/37/0/			
	2.prop.	24	http://digital.slub-dresden.de/en/workview/dlf/7154/38/0/			
Euc. 2.Prop.8	2.prop.	24	http://digital.slub-dresden.de/en/workview/dlf/7154/38/0/			
Euc. 2.Prop.9	2.prop.	25	http://digital.slub-dresden.de/en/workview/dlf/7154/39/0/			
