Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 1.Prop.1	1.prop.1	2r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=7			
Euc. 1.Prop.2	1.prop.2	2r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=7			
Euc. 1.Prop.3	1.prop.3	2r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=7			
Euc. 1.Prop.4	1.prop.4	2r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=7			
Euc. 1.Prop.5	1.prop.5	2r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=7			
Euc. 1.Prop.6	1.prop.6	2r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=7			
Euc. 1.Prop.7	1.prop.7	2r	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=7			
Euc. 1.Prop.7	1.prop.7	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.8	1.prop.8	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.9	1.prop.9	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.10	1.prop.10	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.11	1.prop.11	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.12	1.prop.12	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.13	1.prop.13	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.14	1.prop.14	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.15	1.prop.15	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.16	1.prop.16	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
Euc. 1.Prop.17	1.prop.17	2v	http://badigit.comune.bologna.it/books/A18/scorri.asp?direction=next&ID=8			
