Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 1.Prop.1	1.prop.1	3v			5	
Euc. 1.Prop.2	1.prop.2	4r			6	
Euc. 1.Prop.3	1.prop.3	4v			7	
Euc. 1.Prop.4	1.prop.4	4v			7	
Euc. 1.Prop.5	1.prop.5	5v			9	
Euc. 1.Prop.6	1.prop.6	6r			10	
Euc. 1.Prop.7	1.prop.7	6v			11	
Euc. 1.Prop.8	1.prop.8	6v			11	
Euc. 1.Prop.9	1.prop.9	7r			12	
Euc. 1.Prop.10	1.prop.10	7v			13	
Euc. 1.Prop.11	1.prop.11	7v			13	
Euc. 1.Prop.12	1.prop.12	8r			14	
Euc. 1.Prop.12	1.prop.13	8v			15	
Euc. 1.Prop.13	1.prop.13	9r			16	
Euc. 1.Prop.14	1.prop.14	9r			16	
Euc. 1.Prop.15	1.prop.15	9v			17	
Euc. 1.Prop.16	1.prop.16	10r			18	
Euc. 1.Prop.17	1.prop.17	10v			19	
Euc. 1.Prop.18	1.prop.18	10v			19	
Euc. 1.Prop.19	1.prop.19	11r			20	
Euc. 1.Prop.20	1.prop.20	11r			20	
Euc. 1.Prop.21	1.prop.21	11v			21	
Euc. 1.Prop.22	1.prop.22	12r			22	
Euc. 1.Prop.23	1.prop.23	12v			23	
Euc. 1.Prop.24	1.prop.24	13r			24	
Euc. 1.Prop.25	1.prop.25	13v			25	
Euc. 1.Prop.26	1.prop.26	14r			26	
Euc. 1.Prop.27	1.prop.27	15r			28	
Euc. 1.Prop.28	1.prop.28	15v			29	
Euc. 1.Prop.29	1.prop.29	16r			30	
	1.prop.30	16v			31	
Euc. 1.Prop.31	1.prop.31	16v			31	
Euc. 1.Prop.31	1.prop.31	17r			32	
Euc. 1.Prop.32	1.prop.32	17r			32	
Euc. 1.Prop.33	1.prop.33	17v			33	
Euc. 1.Prop.34	1.prop.34	18r			34	
Euc. 1.Prop.35	1.prop.35	18v			35	
Euc. 1.Prop.36	1.prop.36	19r			36	
Euc. 1.Prop.37	1.prop.37	19v			37	
Euc. 1.Prop.38	1.prop.38	20r			38	
Euc. 1.Prop.39	1.prop.39	20r			38	
Euc. 1.Prop.40	1.prop.40	20v			39	
Euc. 1.Prop.41	1.prop.41	21r			40	
Euc. 1.Prop.42	1.prop.42	21r			40	
Euc. 1.Prop.43	1.prop.43	21v			41	
Euc. 1.Prop.44	1.prop.44	22r			42	
Euc. 1.Prop.45	1.prop.45	22v			43	
Euc. 1.Prop.46	1.prop.46	23r			44	
Euc. 1.Prop.47	1.prop.47	23v			45	
Euc. 1.Prop.48	1.prop.48	24r			46	
Euc. 2.Prop.1	2.prop.1	25r			48	
Euc. 2.Prop.2	2.prop.2	25v			49	
Euc. 2.Prop.3	2.prop.3	26r			50	
Euc. 2.Prop.4	2.prop.4	26v			51	
Euc. 2.Prop.5	2.prop.5	27v			53	
Euc. 2.Prop.6	2.prop.6	29r			56	
	2.prop.7	29v			57	
Euc. 2.Prop.8	2.prop.8	28r			54	
Euc. 2.Prop.9	2.prop.9	31r			60	
Euc. 2.Prop.10	2.prop.10	31v			61	
Euc. 2.Prop.11	2.prop.11	30v			59	
Euc. 2.Prop.12	2.prop.12	32r			62	
Euc. 2.Prop.13	2.prop.13	32v			63	
Euc. 2.Prop.14	2.prop.14	32v			63	
Euc. 3.Prop.1	3.prop.1	34r			66	
Euc. 3.Prop.2	3.prop.2	34r			66	
Euc. 3.Prop.3	3.prop.3	34v			67	
Euc. 3.Prop.4	3.prop.4	35r			68	
Euc. 3.Prop.5	3.prop.5	35r			68	
Euc. 3.Prop.6	3.prop.6	35v			69	
Euc. 3.Prop.7	3.prop.7	35v			69	
Euc. 3.Prop.7	3.prop.7	36r			70	
Euc. 3.Prop.8	3.prop.8	36v			71	
Euc. 3.Prop.9	3.prop.9	37v			73	
Euc. 3.Prop.10	3.prop.10	38r			74	
Euc. 3.Prop.11	3.prop.11	38v			75	
Euc. 3.Prop.12	3.prop.12	39r			76	
Euc. 3.Prop.13	3.prop.13	39v			77	
Euc. 3.Prop.14	3.prop.14	40r			78	
Euc. 3.Prop.15	3.prop.15	40v			79	
Euc. 3.Prop.16	3.prop.16	40v			79	
Euc. 3.Prop.17	3.prop.17	41v			81	
Euc. 3.Prop.18	3.prop.18	41v			81	
Euc. 3.Prop.19	3.prop.19	42r			82	
Euc. 3.Prop.20	3.prop.20	42v			83	
Euc. 3.Prop.21	3.prop.21	42v			83	
Euc. 3.Prop.22	3.prop.22	43r			84	
Euc. 3.Prop.23	3.prop.23	43r			84	
Euc. 3.Prop.24	3.prop.24	43v			85	
Euc. 3.Prop.25	3.prop.25	43v			85	
Euc. 3.Prop.26	3.prop.26	44r			86	
Euc. 3.Prop.27	3.prop.27	44v			87	
Euc. 3.Prop.28	3.prop.28	44v			87	
Euc. 3.Prop.28	3.prop.28	45r			88	
Euc. 3.Prop.29	3.prop.29	45r			88	
Euc. 3.Prop.30	3.prop.30	45v			89	
Euc. 3.Prop.31	3.prop.31	45v			89	
Euc. 3.Prop.32	3.prop.32	46r			90	
Euc. 3.Prop.33	3.prop.33	46v			91	
Euc. 3.Prop.34	3.prop.34	47v			93	
Euc. 3.Prop.35	3.prop.35	48r			94	
Euc. 3.Prop.36	3.prop.36	48v			95	
