Current Perseus ID	Numbering in work	Folio	Link	Temp PNG File	PDF Page	Coords
Euc. 1.Prop.1	1.prop.	37v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f80.image.r=euclide.langEN		82	
Euc. 1.Prop.2	1.prop.	37v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f80.image.r=euclide.langEN		82	
Euc. 1.Prop.3	1.prop.	43r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f91.image.r=euclide.langEN		93	
Euc. 1.Prop.4	1.prop.	43r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f91.image.r=euclide.langEN		93	
Euc. 1.Prop.5	1.prop.	43v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f92.image.r=euclide.langEN		94	
Euc. 1.Prop.6	1.prop.	39r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f83.image.r=euclide.langEN		85	
Euc. 1.Prop.7	1.prop.	39v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f84.image.r=euclide.langEN		86	
Euc. 1.Prop.8	1.prop.	39v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f84.image.r=euclide.langEN		86	
Euc. 1.Prop.9	1.prop.	40r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f85.image.r=euclide.langEN		87	
Euc. 1.Prop.10	1.prop.	40r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f85.image.r=euclide.langEN		87	
Euc. 1.Prop.11	1.prop.	40r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f85.image.r=euclide.langEN		87	
Euc. 1.Prop.12	1.prop.	40v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f86.image.r=euclide.langEN		88	
Euc. 1.Prop.13	1.prop.	40v	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f86.image.r=euclide.langEN		88	
Euc. 1.Prop.14	1.prop.	41r	http://gallica.bnf.fr/ark:/12148/btv1b10509305h/f87.image.r=euclide.langEN		89	
