primary id	primary id type	additional ids (id|type;etc)	primary title	other titles (title|type;etc)	author	author term of address	author date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	editor or translator	name	term of address	date(s)	authority;authorityURI;valueURI	manuscript? (t/f)	country code	city	publisher	dateIssued	dateCreated	dateModified	edition	text language code	other languages (lang code|objectPart;)	extent desc.	page start	page end	page range	Topics, ; separated	series title	online location (label|url;etc)	physical location (type|name;etc.)	shelf locator	notes	table of contents	multivolume? (t/f)
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1482_lat1|cts urn;urn:cite:ogl:1482lat1|cite urn;ark:/13960/t3223xf3h|identifier-ark	Elements		Euclid	 		viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Campanus			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/29636378/											f		Venice	Erhard Ratdolt	1482				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Internet Archive|https://archive.org/details/OEXV231RES;Google Books|https://books.google.de/books?id=d7E2AAAAMAAJ;WorldCat|http://www.worldcat.org/oclc/8185177;Internet Archive|https://archive.org/details/gri_000033125009354198;HathiTrust|babel.hathitrust.org/cgi/pt?id=gri.ark:/13960/t3vt3074v;WorldCat|http://www.worldcat.org/oclc/8185177;Internet Archive|https://archive.org/details/euclidisoperaom04marigoog;Google Books|https://books.google.de/books?id=d7E2AAAAMAAJ;WorldCat|http://www.worldcat.org/oclc/5835487				5-9	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1509_lat1|cts urn;urn:cite:ogl:1509lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Campanus			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/29636378/	editor	Luca Paciuolo			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/87677562/						f		Venice	A. Paganius Paganinus ... imprimebat	1509				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=-nRPIE3VJd8C;WorldCat|http://www.worldcat.org/oclc/311646839;Google Books|https://books.google.de/books?id=9mdY8sZcUa4C;Google Books|https://books.google.de/books?id=ecJCAAAAcAAJ;Google Books|https://books.google.de/books?id=KtcWzA-j3qcC;Google Books|https://books.google.de/books?id=Y0tZAAAAcAAJ				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1510_lat1|cts urn;urn:cite:ogl:1510lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f		Venice	Ioannis Tacuini	1510				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=ckxZAAAAcAAJ				1-14	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1516_lat1|cts urn;urn:cite:ogl:1516lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Zamberti			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/51705814/											f		Paris	in officia Henrici Stephani e regione scholae Decretorum	1516				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=30tZAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/15137086;Google Books|https://books.google.de/books?id=MhxQAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/15137086;Google Books|https://books.google.de/books?id=Zxn66SdX4UMC;WorldCat|http://www.worldcat.org/oclc/15137086				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1516_lat2|cts urn;urn:cite:ogl:1516lat2|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Campanus			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/29636378/											f		Paris	in officia Henrici Stephani e regione scholae Decretorum	1516				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=30tZAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/15137086;Google Books|https://books.google.de/books?id=MhxQAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/15137086;Google Books|https://books.google.de/books?id=Zxn66SdX4UMC;WorldCat|http://www.worldcat.org/oclc/15137086				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1517_lat1|cts urn;urn:cite:ogl:1517lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f				1517				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=wR1QAAAAcAAJ				1-14	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1529_lat1|cts urn;urn:cite:ogl:1529lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f		Argentoratum	apud Christianum Egenolphum	1529				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=mN9RAAAAcAAJ;Google Books|https://books.google.de/books?id=msbZ-LmwJIcC				1-5	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1534_lat1|cts urn;urn:cite:ogl:1534lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f		Paris	apud Christianum Wechelium	1534				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=175Y7ym3ricC;WorldCat|http://www.worldcat.org/oclc/560851828;Google Books|https://books.google.de/books?id=sbw7AAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/560851828				1-5	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1533_grc1|cts urn;urn:cite:ogl:1533grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Simon Grynaeus			viaf;https://viaf.org/;https://viaf.org/viaf/51739295/											f		Basel	apud Iohannem Heruagium	1533				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		SLUB Dresden|http://slubdd.de/katalog?TN_libero_mab2291585				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1533_lat1|cts urn;urn:cite:ogl:1533grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Simon Grynaeus			viaf;https://viaf.org/;https://viaf.org/viaf/51739295/	translator	Zamberti			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/51705814/	translator	Campanus			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/29636378/	f		Basel	apud Iohannem Heruagium	1533				lat	grc|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		SLUB Dresden|http://slubdd.de/katalog?TN_libero_mab2291585				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1537_lat1|cts urn;urn:cite:ogl:1537lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Zamberti			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/51705814/											f		Basel	apud Iohannem Heruagium	1537				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		HathiTrust|babel.hathitrust.org/cgi/pt?id=ucm.5317955077;WorldCat|http://www.worldcat.org/oclc/8419118;Google Books|https://books.google.de/books?id=o8RCAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/8419118				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1537_lat2|cts urn;urn:cite:ogl:1537lat2|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Campanus			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/29636378/											f		Basel	apud Iohannem Heruagium	1537				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		HathiTrust|babel.hathitrust.org/cgi/pt?id=ucm.5317955077;WorldCat|http://www.worldcat.org/oclc/8419118;Google Books|https://books.google.de/books?id=o8RCAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/8419118				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1538_grc1|cts urn;urn:cite:ogl:1538grc1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f				1538				grc						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=fZZO7y66YWoC;WorldCat|http://www.worldcat.org/oclc/166016283				1	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1539_lat1|cts urn;urn:cite:ogl:1539lat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f		Venice	per Ioan. Ant. de Nicolinis de Sabio	1539				lat						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=Od5aAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/23622135				1-5	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1543_ita1|cts urn;urn:cite:ogl:1543ita1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Niccolò Tartaglia			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/56739544/											f		Venice	per Venturino Roffinelli	1543				ita						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=-Z1Jxbdd4ZEC;WorldCat|http://www.worldcat.org/oclc/8187137				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1545_ita1|cts urn;urn:cite:ogl:1545ita1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f		Rome	apud Antonium Bladum Asulanum	1545				ita						Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=CsYA5nFQ2TsC;WorldCat|http://www.worldcat.org/oclc/165556493				1-15	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1550_grc1|cts urn;urn:cite:ogl:1550grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	editor	Johann Scheubel			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/67273775/											f		Basel	per Joanem Hervagium	1550				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=g0xZAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/165556510				1-6	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1550_lat1|cts urn;urn:cite:ogl:1550grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097	translator	Johann Scheubel			viaf;https://viaf.org/viaf/;https://viaf.org/viaf/67273775/											f		Basel	per Joanem Hervagium	1550				lat	grc|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		Google Books|https://books.google.de/books?id=g0xZAAAAcAAJ;WorldCat|http://www.worldcat.org/oclc/165556510				1-6	f
tlg1799.tlg001	tlg	urn:cts:greekLit:tlg1799.tlg001.1558_grc1|cts urn;urn:cite:ogl:1558grclat1|cite urn	Elements		Euclid			viaf;http://viaf.org/viaf/;https://viaf.org/viaf/176184097																f		Paris	Gulielmum Cavellat, in pingui Gallina ex adverso collegius Cameracensis	1558				grc	lat|text					Geometry.;Geometry -- Early works to 1800.;Mathematics, Greek.		HathiTrust|babel.hathitrust.org/cgi/pt?id=ucm.532247862x;WorldCat|http://www.worldcat.org/oclc/21460050				1-15	f
