Google Books ID	Date	Language(s)	Includes	Text Quality	Diagrams	Diagram Quality	Format Comments	Other Comments
A24XjKJafAwC	1645	Latin	Euclid.Elements:1-13(selections)	b&w,some color,ligatures	foldout	not imaged	titles,inline comments,marginal comments,columns,initials	ex officina Hieronymi Verdussii
wmFDAAAAcAAJ	1645	Latin	Euclid.Elements:1-13(selections)	color,ligatures	foldout	good	titles,inline comments,marginal comments,columns,initials	ex officina Hieronymi Verdussii
VW6fNPy37twC	1645	Latin	Euclid.Elements:1-13(selections)	color,ligatures	foldout	not imaged	titles,inline comments,marginal comments,columns,initials	ex officina Hieronymi Verdussii
3Xs-AAAAcAAJ	1636	Latin	Euclid.Elements:1-6,11(selections)	color,ligatures	foldout	not scanned	titles,initials,later writing	
9GH8RqDkKmsC	1637	Spanish	Euclid.Elements:1-6	b&w,ligatures	foldout	not scanned	titles,initials,inline comments	
EEdZAAAAcAAJ	1674	Italian	Euclid.Elements:5	b&w	foldout	not scanned	titles,initials,inline comments,marginal comments	
fxpaAAAAcAAJ	1678	Latin	Euclid.Elements:1- (?)	b&w,ligatures	foldout	not scanned	titles,initials,marginal comments	not exactly a translation (?)
Hqt6VuakZkoC	1678	Latin	Euclid.Elements:1- (?)	b&w,ligatures	foldout	not scanned	titles,initials,marginal comments	not exactly a translation (?)
p2VVOn3s5UUC	1679	Latin	Euclid.Elements:1-13(selections)	b&w,some color,ligatures,Greek	foldout	not scanned	titles,initials,marginal comments	badly imaged
5XC4CBtGdoYC	1679	Latin	Euclid.Elements:1-13(selections)	b&w,some color,ligatures,Greek	foldout	not scanned	titles,initials,marginal comments	
ens-AAAAcAAJ	1688	Spanish	Euclid.Elements:1-6,11,12	b&w	foldout	not scanned	titles,initials,inline comments	
F2d_fsz2CZ8C	1689	Spanish	Euclid.Elements:1-6,11,12	b&w	foldout	not scanned	titles,initials,inline comments,marginal comments	
qh-Eoptsu1kC	1641	Latin	Euclid.Elements:1-15	b&w,ligatures	foldout	not scanned	titles,initials,columns	
aA4OAAAAQAAJ	1645	Latin	Euclid.Elements:1-13(selections)	color,ligatures,Greek(notes)	foldout	not scanned	titles,initials,marginal comments	
c2P-skYwJGQC	1718	Italian	Euclid.Elements:5	b&w	foldout	not scanned	titles,initials,inline comments,marginal comments	
YrUUAAAAQAAJ	1720	French	Euclid.Elements:1-6,11,12	b&w	foldout	not scanned	titles,initials,inline comments,marginal comments	
4FYLrQ1hJBYC	1723	Spanish	Euclid.Elements:1-6,11,12	b&w,symbols	foldout	not scanned	titles,marginal comments	
MXZt1F_7k30C	1723	Spanish	Euclid.Elements:1-6,11,12	b&w,symbols	foldout	not scanned	titles,marginal comments	
vXo-AAAAcAAJ	1723	German	Euclid.Elements:1-15	b&w,symbols,Blackletter	foldout	not scanned	titles,initials,catchwords	
VZM-AAAAcAAJ	1730	French	Euclid.Elements:1-6,11,12	b&w	foldout	not scanned	titles,initials,inline comments,marginal comments	
4m5bAAAAQAAJ	1734	Italian	Euclid.Elements:5	b&w	foldout	not scanned	titles,initials,inline comments,marginal comments	
8RIOAAAAQAAJ	1738	Latin	Euclid.Elements:1-6,11,12	b&w,ligatures	foldout	incomplete	titles,marginal comments,catchwords	
