Archive.org ID	Date	Language(s)	Includes	Text Quality	Diagrams	Diagram Quality	Format Comments	Other Comments
evclidesrestitv00euclgoog	1679	Latin	Euclid.Elements:1-7	b&w	foldout	not scanned	titles,marginal comments,catchwords	
elementaeuclide00tacqgoog	1701	Latin	Euclid.Elements:1-8	b&w,noisy	foldout	incomplete	titles,marginal comments,catchwords	
elementageometr00archgoog	1703	Latin	Euclid.Elements:1-6,11-12	some b&w	foldout	not scanned	titles,marginal comments	
leselemensdeucl00euclgoog	1720	French	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
euclidselements02keilgoog	1723	English	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
elementaeuclide00mussgoog	1725	Latin	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
elementseuclidw02euclgoog	1727	English	Euclid.Elements:1-6,11-12	b&w	foldout	not scanned	titles,marginal comments	
leselemensdeucl00dechgoog	1730	French	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,inline comments,marginal comments	
euclidselements03keilgoog	1733	English	Euclid.Elements:1-6,11-12	b&w	foldout	okay	titles,marginal comments	
elementidimatem00euclgoog	1735	Italian	Euclid.Elements:1-12	b&w	foldout	not scanned	titles,marginal comments	
euclidiselement01euclgoog	1735	Latin	Euclid.Elements:1-6,11-12	b&w	foldout	not scanned	titles,marginal comments	starts p.126
leselemensdeucl01euclgoog	1738	French	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
euclideselement02euclgoog	1738	Latin	Euclid.Elements:1-6,11-12	b&w,ligatures	foldout	incomplete	titles,marginal comments,catchwords	
euclidiselement00unkngoog	1738	Latin	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,inline comments,marginal comments,catchwords	
bub_gb_QERoe3mrNXIC	1740	Italian	Euclid.Elements:1-6,11-13	b&w	foldout	not scanned	titles,marginal comments	
elementigeometr00euclgoog	1740	Italian	Euclid.Elements:1-6,11-13	b&w	foldout	not scanned	titles,marginal comments	
elementsof53west00eucluoft	1753	English	Euclid.Elements:1-6,11-12	color,symbols	foldout	good	titles,marginal comments	
glielementidieu00euclgoog	1753	Italian	Euclid.Elements:1-6	b&w,fractions,symbols	foldout	not scanned	titles	begins p.169
bub_gb_KlynVzLdFIsC	1753	Italian	Euclid.Elements:1-6	b&w,fractions,symbols	foldout	incomplete	titles	starts p.167
dezeseersteelfd00euclgoog	1763	Dutch	Euclid.Elements:1-6,11-12	b&w,symbols	foldout	incomplete	titles,marginal comments	badly imaged in some places
euclidselements01keilgoog	1772	English	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
elementseuclidi00douggoog	1776	English	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,marginal comments	
leslmensdeuc00eucl	1778	French	Euclid.Elements:1-6,11-12	color	foldout	good	titles,marginal comments,scholia	
bub_gb_TyGwevPu0yAC	1782	Italian	Euclid.Elements:1-6,11-13	b&w	foldout	incomplete	titles,marginal comments,lower comments	
euclideselement01euclgoog	1791	German	Euclid.Elements:1-6	b&w	foldout	incomplete	titles	
elementigeometr00andrgoog	1792	Italian	Euclid.Elements:1-6,11-13	b&w	foldout	incomplete	titles,marginal comments,lower comments	
auszugausrobert00mattgoog	1799	German	Euclid.Elements:1-6,11-12(selections)	b&w,symbols,Greek	foldout	incomplete	titles	
leslmenstraduit00euclgoog	1804	French	Euclid.Elements:1-6,11-12	b&w	foldout	incomplete	titles,lower comments	
euclidiselement00haubgoog	1824	Greek,Latin	Euclid.Elements:1-3	b&w	foldout	incomplete	titles,lower comments	
euclidiselement02haubgoog	1824	Greek,Latin	Euclid.Elements:1-6	b&w	foldout	incomplete	titles,lower comments	badly digitized
euclidiselement01haubgoog	1825	Greek,Latin	Euclid.Elements:4-6	b&w	foldout	incomplete	titles,lower comments	
elementagrceetl00euclgoog	1825	Greek,Latin	Euclid.Elements:4-6	b&w	foldout	not scanned	titles,lower comments	
