isLabelIn	containsLabel
1.Prop.1	Α
1.Prop.1	Β
1.Prop.1	Γ
1.Prop.1	Δ
1.Prop.1	Ε
1.Prop.2	Α
1.Prop.2	Β
1.Prop.2	Γ
1.Prop.2	Δ
1.Prop.2	Ε
1.Prop.2	Ζ
1.Prop.2	Η
1.Prop.2	Θ
1.Prop.2	Κ
1.Prop.2	Λ
1.Prop.3	Α
1.Prop.3	Β
1.Prop.3	Γ
1.Prop.3	Δ
1.Prop.3	Ε
1.Prop.3	Ζ
1.Prop.4	Α
1.Prop.4	Β
1.Prop.4	Γ
1.Prop.4	Δ
1.Prop.4	Ε
1.Prop.4	Ζ
1.Prop.5	Α
1.Prop.5	Β
1.Prop.5	Γ
1.Prop.5	Δ
1.Prop.5	Ε
1.Prop.5	Ζ
1.Prop.5	Η
1.Prop.6	Α
1.Prop.6	Β
1.Prop.6	Γ
1.Prop.6	Δ
1.Prop.7	Α
1.Prop.7	Β
1.Prop.7	Γ
1.Prop.7	Δ
1.Prop.8	Α
1.Prop.8	Β
1.Prop.8	Γ
1.Prop.8	Δ
1.Prop.8	Ε
1.Prop.8	Ζ
1.Prop.8	Η
1.Prop.9	Α
1.Prop.9	Β
1.Prop.9	Γ
1.Prop.9	Δ
1.Prop.9	Ε
1.Prop.9	Ζ
1.Prop.10	Α
1.Prop.10	Β
1.Prop.10	Γ
1.Prop.10	Δ
1.Prop.11	Α
1.Prop.11	Β
1.Prop.11	Γ
1.Prop.11	Δ
1.Prop.11	Ε
1.Prop.11	Ζ
1.Prop.12	Α
1.Prop.12	Β
1.Prop.12	Γ
1.Prop.12	Δ
1.Prop.12	Ε
1.Prop.12	Ζ
1.Prop.12	Η
1.Prop.12	Θ
1.Prop.13	Α
1.Prop.13	Β
1.Prop.13	Γ
1.Prop.13	Δ
1.Prop.13	Ε
1.Prop.14	Α
1.Prop.14	Β
1.Prop.14	Γ
1.Prop.14	Δ
1.Prop.14	Ε
1.Prop.15	Α
1.Prop.15	Β
1.Prop.15	Γ
1.Prop.15	Δ
1.Prop.15	Ε
1.Prop.16	Α
1.Prop.16	Β
1.Prop.16	Γ
1.Prop.16	Δ
1.Prop.16	Ε
1.Prop.16	Ζ
1.Prop.16	Η
1.Prop.17	Α
1.Prop.17	Β
1.Prop.17	Γ
1.Prop.17	Δ
1.Prop.18	Α
1.Prop.18	Β
1.Prop.18	Γ
1.Prop.18	Δ
1.Prop.19	Α
1.Prop.19	Β
1.Prop.19	Γ
1.Prop.20	Α
1.Prop.20	Β
1.Prop.20	Γ
1.Prop.20	Δ
1.Prop.21	Α
1.Prop.21	Β
