image URN	folio URN
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0003	urn:cite:ogl:modena_alfa_t_8_21.folio.2r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0004	urn:cite:ogl:modena_alfa_t_8_21.folio.2v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0005	urn:cite:ogl:modena_alfa_t_8_21.folio.3r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0006	urn:cite:ogl:modena_alfa_t_8_21.folio.3v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0007	urn:cite:ogl:modena_alfa_t_8_21.folio.4r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0008	urn:cite:ogl:modena_alfa_t_8_21.folio.4v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0009	urn:cite:ogl:modena_alfa_t_8_21.folio.5r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0010	urn:cite:ogl:modena_alfa_t_8_21.folio.5v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0011	urn:cite:ogl:modena_alfa_t_8_21.folio.6r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0012	urn:cite:ogl:modena_alfa_t_8_21.folio.6v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0013	urn:cite:ogl:modena_alfa_t_8_21.folio.7r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0014	urn:cite:ogl:modena_alfa_t_8_21.folio.7v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0015	urn:cite:ogl:modena_alfa_t_8_21.folio.8r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0016	urn:cite:ogl:modena_alfa_t_8_21.folio.8v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0017	urn:cite:ogl:modena_alfa_t_8_21.folio.9r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0018	urn:cite:ogl:modena_alfa_t_8_21.folio.9v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0019	urn:cite:ogl:modena_alfa_t_8_21.folio.10r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0020	urn:cite:ogl:modena_alfa_t_8_21.folio.10v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0021	urn:cite:ogl:modena_alfa_t_8_21.folio.11r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0022	urn:cite:ogl:modena_alfa_t_8_21.folio.11v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0023	urn:cite:ogl:modena_alfa_t_8_21.folio.12r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0024	urn:cite:ogl:modena_alfa_t_8_21.folio.12v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0025	urn:cite:ogl:modena_alfa_t_8_21.folio.13r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0026	urn:cite:ogl:modena_alfa_t_8_21.folio.13v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0027	urn:cite:ogl:modena_alfa_t_8_21.folio.14r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0028	urn:cite:ogl:modena_alfa_t_8_21.folio.14v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0029	urn:cite:ogl:modena_alfa_t_8_21.folio.15r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0030	urn:cite:ogl:modena_alfa_t_8_21.folio.15v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0031	urn:cite:ogl:modena_alfa_t_8_21.folio.16r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0032	urn:cite:ogl:modena_alfa_t_8_21.folio.16v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0033	urn:cite:ogl:modena_alfa_t_8_21.folio.17r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0034	urn:cite:ogl:modena_alfa_t_8_21.folio.17v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0035	urn:cite:ogl:modena_alfa_t_8_21.folio.18r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0036	urn:cite:ogl:modena_alfa_t_8_21.folio.18v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0037	urn:cite:ogl:modena_alfa_t_8_21.folio.19r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0038	urn:cite:ogl:modena_alfa_t_8_21.folio.19v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0039	urn:cite:ogl:modena_alfa_t_8_21.folio.20r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0040	urn:cite:ogl:modena_alfa_t_8_21.folio.20v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0041	urn:cite:ogl:modena_alfa_t_8_21.folio.21r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0042	urn:cite:ogl:modena_alfa_t_8_21.folio.21v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0043	urn:cite:ogl:modena_alfa_t_8_21.folio.22r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0044	urn:cite:ogl:modena_alfa_t_8_21.folio.22v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0045	urn:cite:ogl:modena_alfa_t_8_21.folio.23r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0046	urn:cite:ogl:modena_alfa_t_8_21.folio.23v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0047	urn:cite:ogl:modena_alfa_t_8_21.folio.24r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0048	urn:cite:ogl:modena_alfa_t_8_21.folio.24v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0049	urn:cite:ogl:modena_alfa_t_8_21.folio.25r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0050	urn:cite:ogl:modena_alfa_t_8_21.folio.25v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0051	urn:cite:ogl:modena_alfa_t_8_21.folio.26r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0052	urn:cite:ogl:modena_alfa_t_8_21.folio.26v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0053	urn:cite:ogl:modena_alfa_t_8_21.folio.27r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0054	urn:cite:ogl:modena_alfa_t_8_21.folio.27v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0055	urn:cite:ogl:modena_alfa_t_8_21.folio.28r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0056	urn:cite:ogl:modena_alfa_t_8_21.folio.28v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0057	urn:cite:ogl:modena_alfa_t_8_21.folio.29r
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0058	urn:cite:ogl:modena_alfa_t_8_21.folio.29v
urn:cite:ogl:modena_alfa_t_8_21.img.modena_alfa_t_8_21_0059	urn:cite:ogl:modena_alfa_t_8_21.folio.30r
