image URN	folio URN
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0008	urn:cite:ogl:paris_grec2373.folio.1r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0009	urn:cite:ogl:paris_grec2373.folio.1v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0010	urn:cite:ogl:paris_grec2373.folio.2r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0011	urn:cite:ogl:paris_grec2373.folio.2v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0012	urn:cite:ogl:paris_grec2373.folio.3r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0013	urn:cite:ogl:paris_grec2373.folio.3v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0014	urn:cite:ogl:paris_grec2373.folio.4r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0015	urn:cite:ogl:paris_grec2373.folio.4v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0016	urn:cite:ogl:paris_grec2373.folio.5r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0017	urn:cite:ogl:paris_grec2373.folio.5v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0018	urn:cite:ogl:paris_grec2373.folio.6r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0019	urn:cite:ogl:paris_grec2373.folio.6v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0020	urn:cite:ogl:paris_grec2373.folio.7r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0021	urn:cite:ogl:paris_grec2373.folio.7v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0022	urn:cite:ogl:paris_grec2373.folio.8r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0023	urn:cite:ogl:paris_grec2373.folio.8v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0024	urn:cite:ogl:paris_grec2373.folio.9r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0025	urn:cite:ogl:paris_grec2373.folio.9v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0026	urn:cite:ogl:paris_grec2373.folio.10r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0027	urn:cite:ogl:paris_grec2373.folio.10v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0028	urn:cite:ogl:paris_grec2373.folio.11r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0029	urn:cite:ogl:paris_grec2373.folio.11v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0030	urn:cite:ogl:paris_grec2373.folio.12r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0031	urn:cite:ogl:paris_grec2373.folio.12v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0032	urn:cite:ogl:paris_grec2373.folio.13r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0033	urn:cite:ogl:paris_grec2373.folio.13v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0034	urn:cite:ogl:paris_grec2373.folio.14r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0035	urn:cite:ogl:paris_grec2373.folio.14v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0036	urn:cite:ogl:paris_grec2373.folio.15r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0037	urn:cite:ogl:paris_grec2373.folio.15v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0038	urn:cite:ogl:paris_grec2373.folio.16r
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0039	urn:cite:ogl:paris_grec2373.folio.16v
urn:cite:ogl:paris_grec2373.img.paris_grec2373_0040	urn:cite:ogl:paris_grec2373.folio.17r
