image URN	page URN
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0006	urn:cite:ogl:1482lat1.page.1
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0007	urn:cite:ogl:1482lat1.page.2
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0008	urn:cite:ogl:1482lat1.page.3
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0009	urn:cite:ogl:1482lat1.page.4
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0010	urn:cite:ogl:1482lat1.page.5
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0011	urn:cite:ogl:1482lat1.page.6
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0012	urn:cite:ogl:1482lat1.page.7
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0013	urn:cite:ogl:1482lat1.page.8
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0014	urn:cite:ogl:1482lat1.page.9
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0015	urn:cite:ogl:1482lat1.page.10
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0016	urn:cite:ogl:1482lat1.page.11
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0017	urn:cite:ogl:1482lat1.page.12
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0018	urn:cite:ogl:1482lat1.page.13
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0019	urn:cite:ogl:1482lat1.page.14
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0020	urn:cite:ogl:1482lat1.page.15
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0021	urn:cite:ogl:1482lat1.page.16
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0022	urn:cite:ogl:1482lat1.page.17
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0023	urn:cite:ogl:1482lat1.page.18
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0024	urn:cite:ogl:1482lat1.page.19
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0025	urn:cite:ogl:1482lat1.page.20
urn:cite:ogl:1482lat1.img.ratdolt_1482_v1_1_0026	urn:cite:ogl:1482lat1.page.21
