image URN	page URN
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0028	urn:cite:ogl:1883grclat1_v2.page.1
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0029	urn:cite:ogl:1883grclat1_v2.page.2
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0030	urn:cite:ogl:1883grclat1_v2.page.3
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0031	urn:cite:ogl:1883grclat1_v2.page.4
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0032	urn:cite:ogl:1883grclat1_v2.page.5
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0033	urn:cite:ogl:1883grclat1_v2.page.6
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0034	urn:cite:ogl:1883grclat1_v2.page.7
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0035	urn:cite:ogl:1883grclat1_v2.page.8
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0036	urn:cite:ogl:1883grclat1_v2.page.9
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0037	urn:cite:ogl:1883grclat1_v2.page.10
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0038	urn:cite:ogl:1883grclat1_v2.page.11
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0039	urn:cite:ogl:1883grclat1_v2.page.12
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0040	urn:cite:ogl:1883grclat1_v2.page.13
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0041	urn:cite:ogl:1883grclat1_v2.page.14
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0042	urn:cite:ogl:1883grclat1_v2.page.15
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0043	urn:cite:ogl:1883grclat1_v2.page.16
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0044	urn:cite:ogl:1883grclat1_v2.page.17
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0045	urn:cite:ogl:1883grclat1_v2.page.18
urn:cite:ogl:1883grclat1_v2.img.heiberg_1884_v2_1_0046	urn:cite:ogl:1883grclat1_v2.page.19
