Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
cod87-diag-0278	bern_87_017r.jpg	3064	4085	616	542	184	84
cod87-diag-0310	bern_87_017r.jpg	3064	4085	1047	2593	345	123
cod87-diag-0324	bern_87_017v.jpg	3064	4085	2575	675	219	159
cod87-diag-0133	bern_87_006r.jpg	3064	4085	1068	1248	396	140
cod87-diag-0049	bern_87_003r.jpg	3064	4085	2280	2428	220	188
cod87-diag-0306	bern_87_017r.jpg	3064	4085	615	2467	129	120
cod87-diag-0340	bern_87_017v.jpg	3064	4085	2125	1638	132	132
cod87-diag-0064	bern_87_005r.jpg	3064	4085	1858	1133	114	72
cod87-diag-0143	bern_87_006r.jpg	3064	4085	2264	2220	324	176
cod87-diag-0029	bern_87_003r.jpg	3064	4085	577	2103	188	166
cod87-diag-0082	bern_87_005r.jpg	3064	4085	1400	2048	159	114
cod87-diag-0006	bern_87_003r.jpg	3064	4085	1033	1604	62	100
cod87-diag-0269	bern_87_016r.jpg	3064	4085	1904	1888	732	756
cod87-diag-0229	bern_87_011v.jpg	3064	4085	800	1856	272	240
cod87-diag-0118	bern_87_005v.jpg	3064	4085	891	2675	264	180
cod87-diag-0303	bern_87_017r.jpg	3064	4085	2190	2092	192	126
cod87-diag-0090	bern_87_005r.jpg	3064	4085	1244	2252	132	117
cod87-diag-0080	bern_87_005r.jpg	3064	4085	1163	1892	240	204
cod87-diag-0225	bern_87_011r.jpg	3064	4085	2010	2273	592	208
cod87-diag-0157	bern_87_006v.jpg	3064	4085	1536	1416	332	188
cod87-diag-0035	bern_87_003r.jpg	3064	4085	821	2261	162	96
cod87-diag-0203	bern_87_009v.jpg	3064	4085	2552	1716	244	212
cod87-diag-0248	bern_87_013r.jpg	3064	4085	760	908	308	296
cod87-diag-0050	bern_87_003r.jpg	3064	4085	579	2519	195	111
cod87-diag-0294	bern_87_017r.jpg	3064	4085	1924	1323	200	80
cod87-diag-0274	bern_87_016v.jpg	3064	4085	2372	1624	552	364
cod87-diag-0197	bern_87_008v.jpg	3064	4085	952	2902	144	148
cod87-diag-0188	bern_87_007v.jpg	3064	4085	2592	1056	184	108
cod87-diag-0270	bern_87_016r.jpg	3064	4085	1984	2569	700	456
cod87-diag-0327	bern_87_017v.jpg	3064	4085	2143	1215	237	153
cod87-diag-0244	bern_87_012v.jpg	3064	4085	2056	2840	452	152
cod87-diag-0004	bern_87_002r.jpg	3064	4085	1414	2393	1124	628
cod87-diag-0001	bern_87_002r.jpg	3064	4085	1180	1516	1208	456
cod87-diag-0095	bern_87_005r.jpg	3064	4085	1175	2675	324	96
cod87-diag-0239	bern_87_012v.jpg	3064	4085	868	600	452	220
cod87-diag-0174	bern_87_007r.jpg	3064	4085	1672	760	164	140
cod87-diag-0185	bern_87_007v.jpg	3064	4085	2580	796	360	212
cod87-diag-0043	bern_87_003r.jpg	3064	4085	1610	2400	87	75
cod87-diag-0053	bern_87_003r.jpg	3064	4085	522	2606	210	111
cod87-diag-0023	bern_87_003r.jpg	3064	4085	2221	1877	264	174
cod87-diag-0100	bern_87_005r.jpg	3064	4085	2221	3287	300	162
cod87-diag-0098	bern_87_005r.jpg	3064	4085	1136	3022	210	201
cod87-diag-0227	bern_87_011r.jpg	3064	4085	1722	3265	228	232
cod87-diag-0183	bern_87_007v.jpg	3064	4085	1240	616	356	208
cod87-diag-0019	bern_87_003r.jpg	3064	4085	1785	1805	112	120
cod87-diag-0295	bern_87_017r.jpg	3064	4085	1655	1398	288	308
cod87-diag-0210	bern_87_010r.jpg	3064	4085	1042	1600	300	160
cod87-diag-0131	bern_87_006r.jpg	3064	4085	1596	1076	352	148
cod87-diag-0167	bern_87_006v.jpg	3064	4085	928	3329	256	232
cod87-diag-0132	bern_87_006r.jpg	3064	4085	1116	1132	344	144
cod87-diag-0115	bern_87_005v.jpg	3064	4085	1919	1901	150	126
cod87-diag-0086	bern_87_005r.jpg	3064	4085	473	2117	141	171
cod87-diag-0199	bern_87_008v.jpg	3064	4085	2372	2966	136	124
cod87-diag-0037	bern_87_003r.jpg	3064	4085	1883	2247	202	108
cod87-diag-0077	bern_87_005r.jpg	3064	4085	1513	1769	138	99
cod87-diag-0329	bern_87_017v.jpg	3064	4085	2515	1188	189	165
