Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
16	grynaeus_1533_v1_1_015.jpg	1000	1562	529	319	113	122
41	grynaeus_1533_v1_1_020.jpg	1000	1562	480	182	276	170
65	grynaeus_1533_v1_1_028.jpg	1000	1562	584	392	177	155
52	grynaeus_1533_v1_1_023.jpg	1000	1562	750	303	138	209
86	grynaeus_1533_v1_1_037.jpg	1000	1562	717	730	187	199
24	grynaeus_1533_v1_1_015.jpg	1000	1562	405	781	140	114
96	grynaeus_1533_v1_1_042.jpg	1000	1562	540	511	194	119
80	grynaeus_1533_v1_1_034.jpg	1000	1562	541	631	203	204
70	grynaeus_1533_v1_1_029.jpg	1000	1562	703	980	167	167
23	grynaeus_1533_v1_1_015.jpg	1000	1562	268	779	137	152
75	grynaeus_1533_v1_1_031.jpg	1000	1562	489	574	395	233
89	grynaeus_1533_v1_1_039.jpg	1000	1562	651	905	246	194
18	grynaeus_1533_v1_1_015.jpg	1000	1562	783	321	113	121
81	grynaeus_1533_v1_1_034.jpg	1000	1562	621	977	126	188
40	grynaeus_1533_v1_1_019.jpg	1000	1562	695	872	171	164
94	grynaeus_1533_v1_1_042.jpg	1000	1562	538	270	189	100
53	grynaeus_1533_v1_1_023.jpg	1000	1562	576	597	307	234
15	grynaeus_1533_v1_1_015.jpg	1000	1562	429	319	101	118
47	grynaeus_1533_v1_1_021.jpg	1000	1562	708	924	174	260
12	grynaeus_1533_v1_1_014.jpg	1000	1573	557	935	122	170
8	grynaeus_1533_v1_1_014.jpg	1000	1573	186	955	137	133
72	grynaeus_1533_v1_1_030.jpg	1000	1562	543	566	200	159
9	grynaeus_1533_v1_1_014.jpg	1000	1573	190	1081	140	105
39	grynaeus_1533_v1_1_019.jpg	1000	1562	692	619	188	253
42	grynaeus_1533_v1_1_020.jpg	1000	1562	573	559	192	213
66	grynaeus_1533_v1_1_028.jpg	1000	1562	570	694	182	182
38	grynaeus_1533_v1_1_019.jpg	1000	1562	493	360	381	209
90	grynaeus_1533_v1_1_040.jpg	1000	1562	584	529	153	236
100	grynaeus_1533_v1_1_042.jpg	1000	1562	575	1067	170	91
82	grynaeus_1533_v1_1_035.jpg	1000	1562	706	279	169	187
35	grynaeus_1533_v1_1_018.jpg	1000	1562	503	254	255	242
57	grynaeus_1533_v1_1_025.jpg	1000	1562	657	491	224	187
71	grynaeus_1533_v1_1_030.jpg	1000	1562	591	302	153	172
60	grynaeus_1533_v1_1_026.jpg	1000	1562	547	780	203	167
74	grynaeus_1533_v1_1_031.jpg	1000	1562	677	158	204	206
64	grynaeus_1533_v1_1_027.jpg	1000	1562	714	984	173	152
48	grynaeus_1533_v1_1_022.jpg	1000	1562	576	212	170	174
3	grynaeus_1533_v1_1_014.jpg	1000	1573	369	389	438	120
59	grynaeus_1533_v1_1_026.jpg	1000	1562	524	420	215	140
69	grynaeus_1533_v1_1_029.jpg	1000	1562	652	656	219	200
61	grynaeus_1533_v1_1_026.jpg	1000	1562	547	1055	200	168
22	grynaeus_1533_v1_1_015.jpg	1000	1562	742	508	144	159
27	grynaeus_1533_v1_1_015.jpg	1000	1562	760	783	110	111
34	grynaeus_1533_v1_1_017.jpg	1000	1562	621	787	242	203
21	grynaeus_1533_v1_1_015.jpg	1000	1562	699	507	104	156
68	grynaeus_1533_v1_1_029.jpg	1000	1562	661	326	210	201
25	grynaeus_1533_v1_1_015.jpg	1000	1562	539	781	101	100
13	grynaeus_1533_v1_1_014.jpg	1000	1573	680	933	130	127
87	grynaeus_1533_v1_1_038.jpg	1000	1562	496	356	245	274
49	grynaeus_1533_v1_1_022.jpg	1000	1562	559	420	191	163
6	grynaeus_1533_v1_1_014.jpg	1000	1573	392	691	132	128
55	grynaeus_1533_v1_1_024.jpg	1000	1562	513	515	241	198
84	grynaeus_1533_v1_1_036.jpg	1000	1562	486	756	251	203
