Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
heath-diag-0460	heath_1908_v2_1_0325.jpg	3917	5750	1188	4214	1504	424
heath-diag-0334	heath_1908_v2_1_0140.jpg	3917	5750	1116	920	1888	328
heath-diag-0396	heath_1908_v2_1_0230.jpg	3917	5750	2192	3558	920	1024
heath-diag-0260	heath_1908_v2_1_0043.jpg	3917	5750	2076	4056	1176	744
heath-diag-0508	heath_1908_v2_1_0388.jpg	3917	5750	1100	1160	1960	576
heath-diag-0290	heath_1908_v2_1_0076.jpg	3917	5750	2637	1812	744	696
heath-diag-0495	heath_1908_v2_1_0368.jpg	3917	5750	2189	3942	1264	488
heath-diag-0250	heath_1908_v2_1_0036.jpg	3917	5750	2532	852	840	732
heath-diag-0513	heath_1908_v2_1_0393.jpg	3917	5750	1036	1176	1808	464
heath-diag-0300	heath_1908_v2_1_0084.jpg	3917	5750	2477	872	920	944
heath-diag-0379	heath_1908_v2_1_0213.jpg	3917	5750	2020	864	1256	984
heath-diag-0356	heath_1908_v2_1_0178.jpg	3917	5750	1205	2388	1632	472
heath-diag-0374	heath_1908_v2_1_0208.jpg	3917	5750	2109	1200	1280	960
heath-diag-0332	heath_1908_v2_1_0139.jpg	3917	5750	836	992	2296	504
heath-diag-0340	heath_1908_v2_1_0154.jpg	3917	5750	1160	2636	1784	1480
heath-diag-0453	heath_1908_v2_1_0318.jpg	3917	5750	1020	2256	1908	372
heath-diag-0510	heath_1908_v2_1_0391.jpg	3917	5750	2477	2840	808	376
heath-diag-0517	heath_1908_v2_1_0397.jpg	3917	5750	2072	1336	1144	496
heath-diag-0546	heath_1908_v2_1_0430.jpg	3917	5750	2181	3012	1304	456
heath-diag-0251	heath_1908_v2_1_0036.jpg	3917	5750	2256	3540	1116	1164
heath-diag-0430	heath_1908_v2_1_0269.jpg	3917	5750	2197	1732	1024	704
heath-diag-0275	heath_1908_v2_1_0062.jpg	3917	5750	2621	2360	800	792
heath-diag-0235	heath_1908_v2_1_0022.jpg	3917	5750	2316	2664	852	1032
heath-diag-0523	heath_1908_v2_1_0402.jpg	3917	5750	2483	2969	816	654
heath-diag-0490	heath_1908_v2_1_0360.jpg	3917	5750	1008	4118	1856	856
heath-diag-0498	heath_1908_v2_1_0373.jpg	3917	5750	1024	1752	1848	768
heath-diag-0474	heath_1908_v2_1_0341.jpg	3917	5750	2237	2612	1000	320
heath-diag-0533	heath_1908_v2_1_0420.jpg	3917	5750	1024	1080	1840	336
heath-diag-0409	heath_1908_v2_1_0238.jpg	3917	5750	2541	2680	944	1064
heath-diag-0404	heath_1908_v2_1_0236.jpg	3917	5750	2613	2148	792	824
heath-diag-0350	heath_1908_v2_1_0171.jpg	3917	5750	1036	2748	1704	656
heath-diag-0280	heath_1908_v2_1_0067.jpg	3917	5750	2541	1296	760	856
heath-diag-0429	heath_1908_v2_1_0268.jpg	3917	5750	2773	4078	616	736
heath-diag-0387	heath_1908_v2_1_0224.jpg	3917	5750	2421	1048	1016	688
heath-diag-0295	heath_1908_v2_1_0079.jpg	3917	5750	1896	3496	1424	1016
heath-diag-0301	heath_1908_v2_1_0086.jpg	3917	5750	2669	1096	704	840
heath-diag-0261	heath_1908_v2_1_0044.jpg	3917	5750	2388	840	1044	756
heath-diag-0321	heath_1908_v2_1_0110.jpg	3917	5750	1121	3526	776	696
heath-diag-0468	heath_1908_v2_1_0335.jpg	3917	5750	2429	4230	936	584
heath-diag-0378	heath_1908_v2_1_0211.jpg	3917	5750	545	1464	2748	840
heath-diag-0294	heath_1908_v2_1_0078.jpg	3917	5750	2501	952	952	1088
heath-diag-0391	heath_1908_v2_1_0227.jpg	3917	5750	988	1344	1968	768
heath-diag-0428	heath_1908_v2_1_0267.jpg	3917	5750	2309	3208	928	752
heath-diag-0550	heath_1908_v2_1_0434.jpg	3917	5750	704	1700	2528	736
heath-diag-0405	heath_1908_v2_1_0236.jpg	3917	5750	1117	4110	760	712
heath-diag-0308	heath_1908_v2_1_0097.jpg	3917	5750	2117	1768	1256	928
heath-diag-0431	heath_1908_v2_1_0270.jpg	3917	5750	2069	1240	1328	672
heath-diag-0466	heath_1908_v2_1_0332.jpg	3917	5750	2717	3558	688	872
heath-diag-0504	heath_1908_v2_1_0382.jpg	3917	5750	2621	1392	800	536
heath-diag-0515	heath_1908_v2_1_0394.jpg	3917	5750	684	3206	2472	420
heath-diag-0323	heath_1908_v2_1_0112.jpg	3917	5750	2327	3191	1098	696
heath-diag-0530	heath_1908_v2_1_0416.jpg	3917	5750	2315	1589	948	420
heath-diag-0455	heath_1908_v2_1_0321.jpg	3917	5750	2645	2540	624	536
heath-diag-0542	heath_1908_v2_1_0428.jpg	3917	5750	2479	2734	840	360
heath-diag-0244	heath_1908_v2_1_0030.jpg	3917	5750	2352	1608	972	1452
heath-diag-0386	heath_1908_v2_1_0222.jpg	3917	5750	2397	952	1048	680
heath-diag-0316	heath_1908_v2_1_0106.jpg	3917	5750	2525	1224	840	896
heath-diag-0399	heath_1908_v2_1_0233.jpg	3917	5750	877	3436	1896	552
heath-diag-0258	heath_1908_v2_1_0042.jpg	3917	5750	2544	3888	816	732
heath-diag-0305	heath_1908_v2_1_0093.jpg	3917	5750	2341	2364	936	872
heath-diag-0413	heath_1908_v2_1_0241.jpg	3917	5750	1084	3206	1568	672
heath-diag-0371	heath_1908_v2_1_0203.jpg	3917	5750	1248	2300	1424	824
heath-diag-0435	heath_1908_v2_1_0275.jpg	3917	5750	1078	3465	1566	732
heath-diag-0401	heath_1908_v2_1_0235.jpg	3917	5750	2020	952	936	856
heath-diag-0317	heath_1908_v2_1_0107.jpg	3917	5750	2525	1800	792	800
heath-diag-0352	heath_1908_v2_1_0174.jpg	3917	5750	1360	3000	1376	312
heath-diag-0233	heath_1908_v2_1_0020.jpg	3917	5750	2400	4068	900	924
heath-diag-0383	heath_1908_v2_1_0219.jpg	3917	5750	2268	2933	936	828
heath-diag-0477	heath_1908_v2_1_0344.jpg	3917	5750	2533	2368	864	392
heath-diag-0358	heath_1908_v2_1_0181.jpg	3917	5750	1984	2376	1264	432
heath-diag-0457	heath_1908_v2_1_0323.jpg	3917	5750	2813	3702	352	640
heath-diag-0372	heath_1908_v2_1_0205.jpg	3917	5750	2253	3694	928	632
heath-diag-0313	heath_1908_v2_1_0103.jpg	3917	5750	2413	1452	888	864
heath-diag-0388	heath_1908_v2_1_0224.jpg	3917	5750	2429	4038	936	864
heath-diag-0326	heath_1908_v2_1_0117.jpg	3917	5750	2349	928	920	936
heath-diag-0314	heath_1908_v2_1_0104.jpg	3917	5750	2589	1248	784	776
heath-diag-0376	heath_1908_v2_1_0209.jpg	3917	5750	1829	3918	1336	600
heath-diag-0335	heath_1908_v2_1_0140.jpg	3917	5750	1021	3390	2040	392
heath-diag-0469	heath_1908_v2_1_0336.jpg	3917	5750	2901	4118	528	800
heath-diag-0364	heath_1908_v2_1_0190.jpg	3917	5750	1216	3348	1744	392
heath-diag-0414	heath_1908_v2_1_0243.jpg	3917	5750	1068	1376	1784	784
heath-diag-0338	heath_1908_v2_1_0151.jpg	3917	5750	1968	3480	1368	600
heath-diag-0255	heath_1908_v2_1_0040.jpg	3917	5750	2196	864	1224	1044
heath-diag-0497	heath_1908_v2_1_0371.jpg	3917	5750	629	1596	2652	936
heath-diag-0454	heath_1908_v2_1_0319.jpg	3917	5750	1997	3694	1136	544
heath-diag-0236	heath_1908_v2_1_0023.jpg	3917	5750	2364	3120	960	1032
heath-diag-0253	heath_1908_v2_1_0038.jpg	3917	5750	2304	2472	672	660
heath-diag-0322	heath_1908_v2_1_0110.jpg	3917	5750	2333	3514	704	688
heath-diag-0389	heath_1908_v2_1_0225.jpg	3917	5750	2165	3579	1098	762
heath-diag-0418	heath_1908_v2_1_0247.jpg	3917	5750	1056	2828	1688	832
heath-diag-0471	heath_1908_v2_1_0338.jpg	3917	5750	2941	4006	488	784
heath-diag-0268	heath_1908_v2_1_0055.jpg	3917	5750	2304	1968	1020	1044
heath-diag-0325	heath_1908_v2_1_0114.jpg	3917	5750	2517	2872	944	928
heath-diag-0307	heath_1908_v2_1_0095.jpg	3917	5750	1110	2717	1602	792
heath-diag-0406	heath_1908_v2_1_0236.jpg	3917	5750	2213	4126	736	648
heath-diag-0514	heath_1908_v2_1_0393.jpg	3917	5750	1000	4258	1944	392
heath-diag-0375	heath_1908_v2_1_0209.jpg	3917	5750	696	3918	968	600
