Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
heiberg-diag-0368	heiberg_1886_v3_1_0196.jpg	2474	3908	198	690	780	546
heiberg-diag-0366	heiberg_1886_v3_1_0192.jpg	2474	3908	228	1920	924	1026
heiberg-diag-0334	heiberg_1886_v3_1_0100.jpg	2474	3908	198	1566	642	522
heiberg-diag-0399	heiberg_1886_v3_1_0282.jpg	2474	3908	186	270	936	354
heiberg-diag-0397	heiberg_1886_v3_1_0274.jpg	2474	3908	102	2466	912	588
heiberg-diag-0415	heiberg_1886_v3_1_0348.jpg	2474	3908	1206	2928	522	294
heiberg-diag-0355	heiberg_1886_v3_1_0154.jpg	2474	3908	144	1572	624	690
heiberg-diag-0339	heiberg_1886_v3_1_0114.jpg	2474	3908	228	270	1014	432
heiberg-diag-0330	heiberg_1886_v3_1_0092.jpg	2474	3908	66	708	408	666
heiberg-diag-0357	heiberg_1886_v3_1_0160.jpg	856	1104	156	630	124	210
heiberg-diag-0445	heiberg_1886_v3_1_0428.jpg	2474	3908	174	324	582	588
heiberg-diag-0341	heiberg_1886_v3_1_0118.jpg	2474	3908	204	2454	1176	444
heiberg-diag-0417	heiberg_1886_v3_1_0352.jpg	2474	3908	174	2052	330	690
heiberg-diag-0377	heiberg_1886_v3_1_0224.jpg	2474	3908	174	702	318	618
heiberg-diag-0430	heiberg_1886_v3_1_0394.jpg	2474	3908	180	1146	738	786
heiberg-diag-0419	heiberg_1886_v3_1_0356.jpg	2474	3908	180	2292	318	732
heiberg-diag-0423	heiberg_1886_v3_1_0366.jpg	2474	3908	162	2340	870	1038
heiberg-diag-0347	heiberg_1886_v3_1_0132.jpg	2474	3908	186	510	540	846
heiberg-diag-0306	heiberg_1886_v3_1_0032.jpg	2474	3908	96	1938	1122	390
heiberg-diag-0436	heiberg_1886_v3_1_0406.jpg	2474	3908	186	2454	768	342
heiberg-diag-0410	heiberg_1886_v3_1_0330.jpg	2474	3908	162	990	816	564
heiberg-diag-0435	heiberg_1886_v3_1_0406.jpg	2474	3908	174	324	630	372
heiberg-diag-0418	heiberg_1886_v3_1_0356.jpg	2474	3908	198	306	312	762
heiberg-diag-0433	heiberg_1886_v3_1_0402.jpg	2474	3908	192	2952	720	606
heiberg-diag-0313	heiberg_1886_v3_1_0052.jpg	2474	3908	90	1524	714	330
heiberg-diag-0446	heiberg_1886_v3_1_0430.jpg	2474	3908	180	546	354	594
heiberg-diag-0361	heiberg_1886_v3_1_0172.jpg	2474	3908	174	2208	840	936
heiberg-diag-0396	heiberg_1886_v3_1_0272.jpg	2474	3908	96	822	1056	312
heiberg-diag-0367	heiberg_1886_v3_1_0194.jpg	2474	3908	180	1416	168	666
heiberg-diag-0387	heiberg_1886_v3_1_0248.jpg	2474	3914	132	2538	894	540
heiberg-diag-0390	heiberg_1886_v3_1_0254.jpg	2474	3908	192	324	162	810
heiberg-diag-0371	heiberg_1886_v3_1_0206.jpg	2474	3908	90	858	798	558
heiberg-diag-0412	heiberg_1886_v3_1_0340.jpg	2474	3914	192	534	756	588
heiberg-diag-0302	heiberg_1886_v3_1_0020.jpg	2474	3908	156	2514	1254	384
heiberg-diag-0327	heiberg_1886_v3_1_0084.jpg	856	1104	166	374	96	178
heiberg-diag-0328	heiberg_1886_v3_1_0084.jpg	856	1104	164	730	220	160
heiberg-diag-0320	heiberg_1886_v3_1_0068.jpg	2474	3908	174	660	330	756
heiberg-diag-0414	heiberg_1886_v3_1_0346.jpg	2474	3908	162	294	786	516
heiberg-diag-0421	heiberg_1886_v3_1_0362.jpg	856	1104	158	246	250	262
heiberg-diag-0358	heiberg_1886_v3_1_0164.jpg	2474	3908	168	894	516	756
heiberg-diag-0398	heiberg_1886_v3_1_0276.jpg	2474	3908	138	2490	792	696
heiberg-diag-0404	heiberg_1886_v3_1_0302.jpg	2474	3908	150	1062	942	1050
heiberg-diag-0380	heiberg_1886_v3_1_0230.jpg	2474	3908	120	2256	834	726
heiberg-diag-0432	heiberg_1886_v3_1_0400.jpg	2474	3908	168	2292	612	324
heiberg-diag-0356	heiberg_1886_v3_1_0156.jpg	2474	3908	510	2388	1230	402
heiberg-diag-0440	heiberg_1886_v3_1_0416.jpg	2474	3908	126	2550	540	180
heiberg-diag-0345	heiberg_1886_v3_1_0128.jpg	2474	3908	90	1104	684	168
heiberg-diag-0344	heiberg_1886_v3_1_0124.jpg	2474	3908	78	2268	1236	588
heiberg-diag-0437	heiberg_1886_v3_1_0410.jpg	2474	3908	156	336	522	600
heiberg-diag-0360	heiberg_1886_v3_1_0170.jpg	2474	3908	204	1848	516	534
heiberg-diag-0337	heiberg_1886_v3_1_0108.jpg	2474	3908	180	858	1020	408
heiberg-diag-0323	heiberg_1886_v3_1_0076.jpg	2474	3908	66	294	444	780
heiberg-diag-0359	heiberg_1886_v3_1_0166.jpg	2474	3908	120	2394	432	954
heiberg-diag-0322	heiberg_1886_v3_1_0074.jpg	2474	3908	174	1056	444	726
heiberg-diag-0316	heiberg_1886_v3_1_0058.jpg	2474	3908	150	726	990	306
heiberg-diag-0332	heiberg_1886_v3_1_0094.jpg	2474	3908	198	2214	162	654
heiberg-diag-0372	heiberg_1886_v3_1_0208.jpg	2474	3908	210	2676	768	546
heiberg-diag-0351	heiberg_1886_v3_1_0144.jpg	2474	3908	198	966	174	732
heiberg-diag-0403	heiberg_1886_v3_1_0296.jpg	2474	3908	138	2004	948	936
heiberg-diag-0349	heiberg_1886_v3_1_0138.jpg	2474	3908	102	510	936	186
heiberg-diag-0353	heiberg_1886_v3_1_0148.jpg	2474	3908	174	504	852	846
heiberg-diag-0331	heiberg_1886_v3_1_0092.jpg	2474	3908	54	2292	930	432
heiberg-diag-0325	heiberg_1886_v3_1_0078.jpg	856	1104	170	606	172	160
heiberg-diag-0305	heiberg_1886_v3_1_0030.jpg	2474	3908	168	2814	918	384
heiberg-diag-0443	heiberg_1886_v3_1_0422.jpg	2474	3908	186	1260	774	492
heiberg-diag-0406	heiberg_1886_v3_1_0312.jpg	2474	3908	132	2310	960	1116
heiberg-diag-0426	heiberg_1886_v3_1_0382.jpg	2474	3908	120	2424	618	714
heiberg-diag-0388	heiberg_1886_v3_1_0250.jpg	2474	3908	174	336	186	720
heiberg-diag-0369	heiberg_1886_v3_1_0200.jpg	2474	3908	210	1236	768	546
heiberg-diag-0301	heiberg_1886_v3_1_0018.jpg	2474	3908	144	2346	948	372
heiberg-diag-0408	heiberg_1886_v3_1_0320.jpg	2474	3908	138	2094	780	576
heiberg-diag-0333	heiberg_1886_v3_1_0096.jpg	2474	3908	180	1800	234	846
heiberg-diag-0348	heiberg_1886_v3_1_0136.jpg	2474	3908	180	312	174	930
heiberg-diag-0373	heiberg_1886_v3_1_0212.jpg	2474	3908	204	270	774	540
heiberg-diag-0378	heiberg_1886_v3_1_0224.jpg	2474	3908	168	2910	312	684
heiberg-diag-0391	heiberg_1886_v3_1_0256.jpg	2474	3908	174	342	186	732
heiberg-diag-0413	heiberg_1886_v3_1_0342.jpg	2474	3908	186	528	774	606
heiberg-diag-0420	heiberg_1886_v3_1_0358.jpg	2474	3908	168	2244	1230	1002
heiberg-diag-0317	heiberg_1886_v3_1_0060.jpg	2474	3908	198	534	318	822
heiberg-diag-0326	heiberg_1886_v3_1_0080.jpg	2474	3908	156	2124	684	690
heiberg-diag-0310	heiberg_1886_v3_1_0046.jpg	2474	3908	180	1854	690	576
heiberg-diag-0311	heiberg_1886_v3_1_0048.jpg	2474	3908	90	1602	1134	258
heiberg-diag-0422	heiberg_1886_v3_1_0364.jpg	2474	3908	174	2316	972	828
heiberg-diag-0389	heiberg_1886_v3_1_0250.jpg	2474	3908	168	2556	888	504
heiberg-diag-0364	heiberg_1886_v3_1_0186.jpg	2474	3908	222	1464	912	1038
heiberg-diag-0429	heiberg_1886_v3_1_0392.jpg	2474	3908	162	2034	894	390
heiberg-diag-0363	heiberg_1886_v3_1_0184.jpg	2474	3908	132	720	942	1038
heiberg-diag-0315	heiberg_1886_v3_1_0056.jpg	2474	3908	114	828	696	684
heiberg-diag-0394	heiberg_1886_v3_1_0264.jpg	2474	3908	66	1428	924	180
heiberg-diag-0308	heiberg_1886_v3_1_0036.jpg	2474	3908	156	2316	348	276
heiberg-diag-0402	heiberg_1886_v3_1_0290.jpg	2474	3908	156	2250	948	996
heiberg-diag-0304	heiberg_1886_v3_1_0026.jpg	2474	3908	168	2388	708	516
heiberg-diag-0405	heiberg_1886_v3_1_0308.jpg	2474	3908	156	1188	936	1050
heiberg-diag-0441	heiberg_1886_v3_1_0418.jpg	2474	3908	174	1764	762	408
heiberg-diag-0365	heiberg_1886_v3_1_0190.jpg	2474	3908	222	714	918	1032
heiberg-diag-0343	heiberg_1886_v3_1_0124.jpg	2474	3908	84	516	588	180
heiberg-diag-0425	heiberg_1886_v3_1_0378.jpg	856	1104	168	226	144	224
