Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
11-32	grynaeus_1533_v1_1_0226.png	1000	1485	55	802	596	71
14-4	grynaeus_1533_v1_1_0273.png	1000	1485	315	156	594	99
1-1	grynaeus_1533_v1_1_0016.png	1000	1485	129	427	597	116
10-109	grynaeus_1533_v1_1_0203.png	1000	1485	300	423	600	67
11-4	grynaeus_1533_v1_1_0211.png	1000	1485	287	729	423	89
10-add2	grynaeus_1533_v1_1_0207.png	1000	1485	287	864	605	76
6-11	grynaeus_1533_v1_1_0087.png	1000	1485	290	439	497	60
6-19	grynaeus_1533_v1_1_0090.png	1000	1485	100	723	609	80
7-5	grynaeus_1533_v1_1_0103.png	1000	1485	285	885	435	97
7-30	grynaeus_1533_v1_1_0112.png	1000	1485	92	659	604	63
6-27	grynaeus_1533_v1_1_0095.png	1000	1485	263	1039	612	118
6-18	grynaeus_1533_v1_1_0090.png	1000	1485	100	257	602	77
9-14	grynaeus_1533_v1_1_0135.png	1000	1485	274	903	422	110
5-8	grynaeus_1533_v1_1_0072.png	1000	1485	95	180	616	96
7-34	grynaeus_1533_v1_1_0114.png	1000	1485	84	200	562	60
3-13	grynaeus_1533_v1_1_0048.png	1000	1485	103	624	602	75
9-31	grynaeus_1533_v1_1_0140.png	1000	1485	64	754	470	77
14-1	grynaeus_1533_v1_1_0270.png	1000	1485	54	770	602	123
3-19	grynaeus_1533_v1_1_0051.png	1000	1485	263	279	448	97
1-41	grynaeus_1533_v1_1_0030.png	1000	1485	108	439	608	92
10-2	grynaeus_1533_v1_1_0144.png	1000	1485	53	421	609	100
13-3	grynaeus_1533_v1_1_0254.png	1000	1485	62	616	591	94
9-3	grynaeus_1533_v1_1_0130.png	1000	1485	63	890	377	85
10-94	grynaeus_1533_v1_1_0194.png	1000	1485	58	433	606	81
2-7	grynaeus_1533_v1_1_0037.png	1000	1485	247	487	622	126
5-20	grynaeus_1533_v1_1_0077.png	1000	1485	279	264	614	107
12-3	grynaeus_1533_v1_1_0235.png	1000	1485	309	416	595	111
10-47	grynaeus_1533_v1_1_0168.png	1000	1485	51	706	605	80
6-3	grynaeus_1533_v1_1_0083.png	1000	1485	278	247	611	154
7-32	grynaeus_1533_v1_1_0113.png	1000	1485	296	435	490	69
8-9	grynaeus_1533_v1_1_0121.png	1000	1485	274	298	608	120
3-20	grynaeus_1533_v1_1_0051.png	1000	1485	259	556	604	91
8-5	grynaeus_1533_v1_1_0119.png	1000	1485	310	546	602	69
3-26	grynaeus_1533_v1_1_0053.png	1000	1485	249	498	611	68
1-40	grynaeus_1533_v1_1_0030.png	1000	1485	105	191	606	63
12-7	grynaeus_1533_v1_1_0239.png	1000	1485	291	533	608	65
1-20	grynaeus_1533_v1_1_0022.png	1000	1485	125	747	590	64
11-35	grynaeus_1533_v1_1_0229.png	1000	1485	289	845	602	189
1-48	grynaeus_1533_v1_1_0033.png	1000	1485	246	327	613	101
5-22	grynaeus_1533_v1_1_0077.png	1000	1485	265	1069	602	83
11-31	grynaeus_1533_v1_1_0225.png	1000	1485	293	624	599	75
10-5	grynaeus_1533_v1_1_0145.png	1000	1485	276	837	503	73
9-30	grynaeus_1533_v1_1_0140.png	1000	1485	64	541	485	80
10-96	grynaeus_1533_v1_1_0195.png	1000	1485	285	903	614	80
6-1	grynaeus_1533_v1_1_0081.png	1000	1485	264	1008	609	112
3-14	grynaeus_1533_v1_1_0048.png	1000	1485	110	1042	611	98
2-10	grynaeus_1533_v1_1_0039.png	1000	1485	248	391	607	146
6-12	grynaeus_1533_v1_1_0087.png	1000	1485	283	628	466	69
13-1	grynaeus_1533_v1_1_0252.png	1000	1485	59	430	595	161
3-21	grynaeus_1533_v1_1_0051.png	1000	1485	252	903	561	74
1-7	grynaeus_1533_v1_1_0018.png	1000	1485	127	686	423	145
11-29	grynaeus_1533_v1_1_0224.png	1000	1485	50	712	419	97
7-9	grynaeus_1533_v1_1_0105.png	1000	1485	302	360	426	116
6-31	grynaeus_1533_v1_1_0098.png	1000	1485	110	525	606	91
11-7	grynaeus_1533_v1_1_0213.png	1000	1485	305	245	595	99
3-23	grynaeus_1533_v1_1_0052.png	1000	1485	110	481	451	61
4-15	grynaeus_1533_v1_1_0066.png	1000	1485	103	295	609	73
8-8	grynaeus_1533_v1_1_0120.png	1000	1485	89	649	597	134
10-34	grynaeus_1533_v1_1_0163.png	1000	1485	287	518	606	82
7-8	grynaeus_1533_v1_1_0104.png	1000	1485	115	904	530	81
5-10	grynaeus_1533_v1_1_0073.png	1000	1485	281	234	607	73
4-16	grynaeus_1533_v1_1_0066.png	1000	1485	109	995	605	77
3-32	grynaeus_1533_v1_1_0055.png	1000	1485	249	782	602	98
1-8	grynaeus_1533_v1_1_0018.png	1000	1485	134	1111	608	88
12-10	grynaeus_1533_v1_1_0241.png	1000	1485	301	766	598	64
10-29	grynaeus_1533_v1_1_0159.png	1000	1485	276	980	607	69
10-53	grynaeus_1533_v1_1_0171.png	1000	1485	278	888	360	73
5-18	grynaeus_1533_v1_1_0076.png	1000	1485	99	434	573	62
