Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
1-1	paris_grec2373_0081.png	1024	1565	250	812	684	66
6-11	paris_grec2373_0188.png	1024	1560	20	651	625	64
6-19	paris_grec2373_0193.png	1024	1551	352	811	603	77
7-5	paris_grec2373_0213.png	1024	1538	226	1149	723	127
6-27	paris_grec2373_0202.png	1024	1550	41	480	728	190
6-18	paris_grec2373_0192.png	1024	1556	35	1142	708	80
5-8	paris_grec2373_0166.png	1024	1563	45	763	741	119
3-13	paris_grec2373_0127.png	1024	1562	231	1008	731	92
3-19	paris_grec2373_0132.png	1024	1576	37	357	726	123
1-41	paris_grec2373_0102.png	1024	1571	38	370	717	98
2-7	paris_grec2373_0111.png	1024	1563	235	399	740	156
5-20	paris_grec2373_0175.png	1024	1554	236	329	737	158
6-3	paris_grec2373_0181.png	1024	1547	234	608	746	219
3-20	paris_grec2373_0132.png	1024	1576	43	853	681	121
3-26	paris_grec2373_0135.png	1024	1576	550	845	404	152
5-3_2	paris_grec2373_0161.png	1024	1559	271	116	685	142
1-40	paris_grec2373_0101.png	1024	1567	234	1214	592	75
1-20	paris_grec2373_0090.png	1024	1562	46	878	725	82
1-48	paris_grec2373_0106.png	1024	1574	39	303	720	126
5-22	paris_grec2373_0176.png	1024	1560	32	573	714	131
6-1	paris_grec2373_0179.png	1024	1545	234	493	722	78
3-14	paris_grec2373_0128.png	1024	1573	32	653	716	98
2-10	paris_grec2373_0114.png	1024	1582	45	353	730	196
6-12	paris_grec2373_0188.png	1024	1560	23	1023	656	70
1-27_2	paris_grec2373_0096.png	1024	1565	59	133	693	78
3-21	paris_grec2373_0133.png	1024	1563	230	355	725	57
1-7	paris_grec2373_0085.png	1024	1568	243	129	714	118
7-9	paris_grec2373_0216.png	1024	1534	52	903	719	125
6-31	paris_grec2373_0205.png	1024	1533	243	1079	717	159
3-23	paris_grec2373_0133.png	1024	1563	465	1211	498	95
4-15	paris_grec2373_0156.png	1024	1582	40	428	722	93
6-32_2	paris_grec2373_0207.png	1024	1533	263	119	692	78
7-8	paris_grec2373_0215.png	1024	1536	214	622	741	100
5-10	paris_grec2373_0168.png	1024	1570	47	661	721	115
4-16	paris_grec2373_0157.png	1024	1563	230	883	726	90
3-32	paris_grec2373_0139.png	1024	1578	247	483	727	152
1-8	paris_grec2373_0085.png	1024	1568	221	716	743	116
5-18	paris_grec2373_0173.png	1024	1554	256	1115	703	83
5-7	paris_grec2373_0166.png	1024	1563	33	137	716	93
1-34	paris_grec2373_0099.png	1024	1567	242	451	720	85
1-33	paris_grec2373_0098.png	1024	1565	31	1012	715	93
2-2	paris_grec2373_0107.png	1024	1563	235	612	742	112
7-2	paris_grec2373_0211.png	1024	1533	238	687	716	77
1-5	paris_grec2373_0093.png	1024	1563	240	912	736	119
1-42	paris_grec2373_0102.png	1024	1571	42	689	718	102
1-22	paris_grec2373_0091.png	1024	1568	238	1111	716	189
2-4	paris_grec2373_0108.png	1024	1565	39	463	723	129
1-43	paris_grec2373_0103.png	1024	1567	238	115	726	82
1-4	paris_grec2373_0092.png	1024	1560	30	901	727	214
3-35	paris_grec2373_0142.png	1024	1571	35	325	604	117
5-2	paris_grec2373_0160.png	1024	1579	32	485	722	158
1-44	paris_grec2373_0103.png	1024	1567	234	576	730	72
1-37	paris_grec2373_0100.png	1024	1565	33	1051	719	69
6-26	paris_grec2373_0201.png	1024	1533	379	935	587	113
6-13	paris_grec2373_0189.png	1024	1547	317	256	549	57
2-1	paris_grec2373_0106.png	1024	1574	28	1198	749	132
4-2	paris_grec2373_0145.png	1024	1565	247	1051	719	92
1-19	paris_grec2373_0090.png	1024	1562	51	573	731	75
1-24	paris_grec2373_0082.png	1024	1556	43	1215	729	64
2-11	paris_grec2373_0115.png	1024	1573	218	759	740	112
6-22	paris_grec2373_0198.png	1024	1557	49	130	716	149
3-16	paris_grec2373_0129.png	1024	1563	213	1122	747	180
3-4_2	paris_grec2373_0121.png	1024	1576	252	143	620	51
3-22	paris_grec2373_0133.png	1024	1563	305	713	656	78
1-16	paris_grec2373_0089.png	1024	1568	222	324	731	111
4-6	paris_grec2373_0149.png	1024	1560	219	436	604	54
1-31	paris_grec2373_0097.png	1024	1581	243	1119	734	98
6-7	paris_grec2373_0185.png	1024	1550	247	326	721	169
1-13	paris_grec2373_0087.png	1024	1568	229	1014	730	85
5-25	paris_grec2373_0178.png	1024	1556	40	697	719	78
6-32	paris_grec2373_0206.png	1024	1550	39	1184	715	95
6-6	paris_grec2373_0184.png	1024	1560	36	385	723	156
6-24	paris_grec2373_0199.png	1024	1533	442	1153	510	117
2-8	paris_grec2373_0111.png	1024	1563	235	1195	718	93
1-39	paris_grec2373_0101.png	1024	1567	238	813	721	85
1-6	paris_grec2373_0084.png	1024	1563	32	740	721	106
5-14	paris_grec2373_0171.png	1024	1556	244	356	730	137
1-15	paris_grec2373_0088.png	1024	1556	44	964	727	92
5-17	paris_grec2373_0172.png	1024	1554	49	1050	707	79
3-11	paris_grec2373_0126.png	1024	1568	45	887	721	116
4-7	paris_grec2373_0149.png	1024	1560	226	901	610	45
6-14	paris_grec2373_0189.png	1024	1547	358	618	617	179
3-34	paris_grec2373_0141.png	1024	1574	372	994	592	78
5-1	paris_grec2373_0159.png	1024	1559	241	967	729	163
6-17	paris_grec2373_0192.png	1024	1556	33	380	714	150
3-7	paris_grec2373_0122.png	1024	1568	39	128	730	268
4-3	paris_grec2373_0146.png	1024	1581	42	536	714	83
4-12	paris_grec2373_0153.png	1024	1559	225	298	718	78
2-8_2	paris_grec2373_0112.png	1024	1581	53	132	687	97
2-13	paris_grec2373_0117.png	1024	1559	243	236	711	180
7-3	paris_grec2373_0212.png	1024	1550	28	579	744	77
1-46	paris_grec2373_0104.png	1024	1567	43	1063	556	75
3-9	paris_grec2373_0125.png	1024	1562	246	200	716	100
6-9	paris_grec2373_0187.png	1024	1551	240	745	586	77
1-29_2	paris_grec2373_0097.png	1024	1581	267	131	230	50
1-2	paris_grec2373_0081.png	1024	1565	236	1245	681	81
6-16	paris_grec2373_0191.png	1024	1556	255	347	730	178
5-16	paris_grec2373_0172.png	1024	1554	44	327	708	65
2-5	paris_grec2373_0109.png	1024	1563	262	1067	699	114
