Temp ID	Image Path	Image Width	Image Height	X Offset	Y Offset	X Width	Y Height
1-1	ratdolt_1482_v1_1_0007.tiff	2167	3000	905	2098	1126	238
6-11	ratdolt_1482_v1_1_0091.tiff	2167	3000	939	1326	1118	254
6-19	ratdolt_1482_v1_1_0094.tiff	2167	3000	116	460	1122	286
6-18	ratdolt_1482_v1_1_0095.tiff	2167	3000	951	1242	1110	230
3-13	ratdolt_1482_v1_1_0036.tiff	2167	3000	142	1826	1086	226
3-19	ratdolt_1482_v1_1_0040.tiff	2167	3000	140	460	1108	238
1-41	ratdolt_1482_v1_1_0021.tiff	2167	3000	951	1814	1118	234
2-7	ratdolt_1482_v1_1_0027.tiff	2167	3000	933	1988	1102	230
6-3	ratdolt_1482_v1_1_0088.tiff	2167	3000	116	1436	1108	234
3-20	ratdolt_1482_v1_1_0040.tiff	2167	3000	132	838	1124	244
3-26	ratdolt_1482_v1_1_0042.tiff	2167	3000	143	1986	1112	238
1-40	ratdolt_1482_v1_1_0021.tiff	2167	3000	963	1230	1120	230
1-20	ratdolt_1482_v1_1_0014.tiff	2167	3000	180	698	1120	236
1-48	ratdolt_1482_v1_1_0024.tiff	2167	3000	132	1038	1106	236
6-1	ratdolt_1482_v1_1_0087.tiff	2167	3000	949	1566	1110	234
3-14	ratdolt_1482_v1_1_0037.tiff	2167	3000	907	440	1140	254
2-10	ratdolt_1482_v1_1_0029.tiff	2167	3000	921	570	1124	280
3-21	ratdolt_1482_v1_1_0040.tiff	2167	3000	128	1718	1112	242
1-7	ratdolt_1482_v1_1_0010.tiff	2167	3000	163	1610	1122	236
3-23	ratdolt_1482_v1_1_0041.tiff	2167	3000	931	658	1114	238
4-15	ratdolt_1482_v1_1_0057.tiff	2167	3000	953	1414	1112	246
4-16	ratdolt_1482_v1_1_0058.tiff	2167	3000	117	1350	1102	244
3-32	ratdolt_1482_v1_1_0045.tiff	2167	3000	919	1788	1118	234
1-8	ratdolt_1482_v1_1_0011.tiff	2167	3000	897	908	1122	226
3-16_2	ratdolt_1482_v1_1_0038.tiff	2167	3000	122	466	1104	284
1-34	ratdolt_1482_v1_1_0019.tiff	2167	3000	927	1334	1108	234
1-33	ratdolt_1482_v1_1_0019.tiff	2167	3000	921	882	1116	226
2-2	ratdolt_1482_v1_1_0026.tiff	2167	3000	145	416	1102	226
1-5	ratdolt_1482_v1_1_0009.tiff	2167	3000	895	2072	1130	244
1-42	ratdolt_1482_v1_1_0022.tiff	2167	3000	89	522	1130	256
1-22	ratdolt_1482_v1_1_0014.tiff	2167	3000	170	1624	1124	226
2-4	ratdolt_1482_v1_1_0026.tiff	2167	3000	140	1332	1102	232
1-43	ratdolt_1482_v1_1_0022.tiff	2167	3000	112	1194	1106	246
1-4	ratdolt_1482_v1_1_0009.tiff	2167	3000	905	1284	1110	284
3-35	ratdolt_1482_v1_1_0047.tiff	2167	3000	929	478	1106	228
1-44	ratdolt_1482_v1_1_0022.tiff	2167	3000	130	1902	1104	246
1-37	ratdolt_1482_v1_1_0020.tiff	2167	3000	124	1424	1110	238
6-13	ratdolt_1482_v1_1_0091.tiff	2167	3000	939	818	1116	250
2-1	ratdolt_1482_v1_1_0025.tiff	2167	3000	937	1566	1106	232
4-2	ratdolt_1482_v1_1_0050.tiff	2167	3000	145	506	1114	226
1-19	ratdolt_1482_v1_1_0014.tiff	2167	3000	179	444	1118	236
1-24	ratdolt_1482_v1_1_0015.tiff	2167	3000	889	942	1114	230
2-11	ratdolt_1482_v1_1_0029.tiff	2167	3000	909	1736	1120	236
3-16	ratdolt_1482_v1_1_0037.tiff	2167	3000	913	2092	1106	232
3-22	ratdolt_1482_v1_1_0040.tiff	2167	3000	128	2050	1106	230
1-16	ratdolt_1482_v1_1_0013.tiff	2167	3000	897	986	1128	232
4-6	ratdolt_1482_v1_1_0052.tiff	2167	3000	141	1642	916	236
1-31	ratdolt_1482_v1_1_0017.tiff	2167	3000	891	2102	1126	236
6-7	ratdolt_1482_v1_1_0090.tiff	2167	3000	122	760	1110	282
1-13	ratdolt_1482_v1_1_0012.tiff	2167	3000	176	1378	1118	236
1-add1	ratdolt_1482_v1_1_0024.tiff	2167	3000	138	1664	1098	228
6-6	ratdolt_1482_v1_1_0089.tiff	2167	3000	917	1990	1122	256
2-8	ratdolt_1482_v1_1_0028.tiff	2167	3000	133	660	1138	242
1-39	ratdolt_1482_v1_1_0020.tiff	2167	3000	132	2044	1114	244
1-6	ratdolt_1482_v1_1_0010.tiff	2167	3000	161	1068	1120	238
